text,href,twebsite
民族学与社会学学院,https://msy.muc.edu.cn/,https://msy.muc.edu.cn//szdw1/zrjs.htm
中国少数民族语言文学学院,https://scemll.muc.edu.cn/,https://scemll.muc.edu.cn//sz1.htm
文学院,https://sla.muc.edu.cn/,https://sla.muc.edu.cn//szdw/zggdwxjys.htm
历史文化学院,https://history.muc.edu.cn/,https://history.muc.edu.cn//szdw.htm
哲学与宗教学学院,https://phil.muc.edu.cn/,https://phil.muc.edu.cn//szdw1/mkszyzx.htm
新闻与传播学院,https://xinchuan.muc.edu.cn/,https://xinchuan.muc.edu.cn//szdw2/zcsz.htm
外国语学院,https://sfs.muc.edu.cn/index.jsp,https://sfs.muc.edu.cn/index.jsp/szdw2.htm
马克思主义学院,https://marxism.muc.edu.cn/,https://marxism.muc.edu.cn/xygk/lddw.htm
经济学院,https://eco.muc.edu.cn/,https://eco.muc.edu.cn//sztd/zgjs.htm
管理学院,https://ms.muc.edu.cn/,https://ms.muc.edu.cn/szdw/zrjs/gsglx.htm
法学院,https://law.muc.edu.cn/,https://law.muc.edu.cn//szdw1.htm
生命与环境科学学院,https://cles.muc.edu.cn/,https://cles.muc.edu.cn//szdw/szgk.htm
药学院,https://yxy.muc.edu.cn/,https://yxy.muc.edu.cn//szdw/mzyxyjs.htm
理学院,https://lxy.muc.edu.cn/,https://lxy.muc.edu.cn//szdw.htm
信息工程学院,https://xingong.muc.edu.cn/,https://xingong.muc.edu.cn//szdw/szgk.htm
音乐学院,https://yyxy.muc.edu.cn/,https://yyxy.muc.edu.cn//xkjs/szjs/qb.htm
舞蹈学院,https://wd.muc.edu.cn/,https://wd.muc.edu.cn//xygk/szdw.htm
美术学院,https://art.muc.edu.cn/,https://art.muc.edu.cn//info/1053/2744.htm
体育学院,https://sport.muc.edu.cn/,https://sport.muc.edu.cn//szdw.htm
教育学院,https://edu.muc.edu.cn/,https://edu.muc.edu.cn//szdw/js.htm
国际教育学院,https://cie.muc.edu.cn/,https://cie.muc.edu.cn//szdw1/zzjs.htm
