text,href,twebsite
蒙古学学院,http://mgx.imu.edu.cn/,http://mgx.imu.edu.cn//szdw/szdw/mgyywxx.htm
民族学与社会学学院,http://msy.imu.edu.cn/,http://msy.imu.edu.cn//szdw/js/mzxx.htm
文学与新闻传播学院,http://wxxy.imu.edu.cn/,http://wxxy.imu.edu.cn//szdw/hyxjs.htm
历史与旅游文化学院,http://lsly.imu.edu.cn/,http://lsly.imu.edu.cn//xkjs/szdw.htm
哲学学院,http://phil.imu.edu.cn/,http://phil.imu.edu.cn//szdw1/sztd.htm
经济管理学院,http://jjxy.imu.edu.cn/,http://jjxy.imu.edu.cn//szdw/jsml.htm
公共管理学院,http://spm.imu.edu.cn/,http://spm.imu.edu.cn//szdw/js.htm
马克思主义学院,http://marxism.imu.edu.cn/,http://marxism.imu.edu.cn//szdw/js.htm
数学科学学院,http://math.imu.edu.cn/,http://math.imu.edu.cn//szdw_/zzjs.htm
物理科学与技术学院,http://wlxy.imu.edu.cn/,http://wlxy.imu.edu.cn//xzzq/jszl.htm
化学化工学院,http://chem.imu.edu.cn/,http://chem.imu.edu.cn//szdw1/wjhx.htm
生命科学学院,http://smkxxy.imu.edu.cn/,http://smkxxy.imu.edu.cn//szdw/zgj.htm
电子信息工程学院,http://dzxy.imu.edu.cn/,http://dzxy.imu.edu.cn//szdw/zrjs.htm
国际教育学院,http://iec.imu.edu.cn/,http://iec.imu.edu.cn//xygk/szjs.htm
交通学院,http://www.jt.imu.edu.cn/,http://www.jt.imu.edu.cn//msjs.aspx?IID=14
