text,href,twebsite
水文水资源学院,https://shxy.hhu.edu.cn/,https://shxy.hhu.edu.cn///3195/list.htm
水利水电学院,http://sdxy.hhu.edu.cn/,http://sdxy.hhu.edu.cn///szdw_15301/list.htm
港口海岸与近海工程学院,http://ghxy.hhu.edu.cn/,http://ghxy.hhu.edu.cn///5668/list.htm
土木与交通学院,http://ccte.hhu.edu.cn/,http://ccte.hhu.edu.cn///2023/1123/c6262a268573/page.htm
环境学院,http://hjxy.hhu.edu.cn/,http://hjxy.hhu.edu.cn///szgk
电气与动力工程学院,http://ceee.hhu.edu.cn/,http://ceee.hhu.edu.cn///12806/list.htm
计算机与软件学院,http://cies.hhu.edu.cn/,https://cies.hhu.edu.cn/jxky/list.htm
力学与工程科学学院,https://cmes.hhu.edu.cn/,https://cmes.hhu.edu.cn/5888/list.htm
地球科学与工程学院,http://dxy.hhu.edu.cn/,http://dxy.hhu.edu.cn///6374/list.htm
农业科学与工程学院,http://ngy.hhu.edu.cn/,https://ngy.hhu.edu.cn/zrjs/list.htm
水土保持学院,https://sby.hhu.edu.cn,https://sby.hhu.edu.cn//18461/list.htm
机电工程学院,http://jidian.hhu.edu.cn/,http://jidian.hhu.edu.cn///szdw
信息科学与工程学院,https://ise.hhu.edu.cn,https://ise.hhu.edu.cn//1488
人工智能与自动化学院,https://ai.hhu.edu.cn/,https://ai.hhu.edu.cn///15655/list.htm
新能源学院,https://xny.hhu.edu.cn/,https://xny.hhu.edu.cn//http://xny.hhu.edu.cn/17755/list.htm
材料科学与工程学院,https://mse.hhu.edu.cn/,https://mse.hhu.edu.cn///17819/list.htm
海洋学院,http://hyxy.hhu.edu.cn/,http://hyxy.hhu.edu.cn///8636/list.htm
地理与遥感学院,https://dlxy.hhu.edu.cn/,https://dlxy.hhu.edu.cn//https://dlxy.hhu.edu.cn/17906/list.htm
商学院,https://hhbs.hhu.edu.cn/,https://hhbs.hhu.edu.cn//https://webplus.hhu.edu.cn/_web/_platform/teacherHome/web/login.jsp?inner=1
经济与金融学院,http://jjxy.hhu.edu.cn,http://jjxy.hhu.edu.cn//szgk/list.htm
公共管理学院,http://ggy.hhu.edu.cn/,http://ggy.hhu.edu.cn///szgk/main.htm
法学院,http://law.hhu.edu.cn/,https://law.hhu.edu.cn/szdw/list.htm
马克思主义学院,http://mky.hhu.edu.cn/,http://mky.hhu.edu.cn///6523/list.htm
外国语学院,http://wgyxy.hhu.edu.cn/,https://wgyxy.hhu.edu.cn/2019/1101/c6656a198581/page.htm
大禹学院,https://dyxy.hhu.edu.cn/,https://dyxy.hhu.edu.cn///14824/list.htm
