text,href,twebsite
轻工科学与工程学院（柔性电子学院）,https://qg.sust.edu.cn/,https://qg.sust.edu.cn//szdw.htm
材料科学与工程学院（文物保护科学与技术学院）,http://cl.sust.edu.cn/,http://cl.sust.edu.cn//szdw/szml/wjfjsclgcx.htm
环境科学与工程学院（碳中和科学与技术学院）,http://hj.sust.edu.cn,http://hj.sust.edu.cn/szll/bssds.htm
食品科学与工程学院（生物与医药学院）,http://sm.sust.edu.cn/,https://sm.sust.edu.cn/szdw/jsml.htm
机电工程学院（智能制造与机器人工程学院）,http://jd.sust.edu.cn/,https://jd.sust.edu.cn/yjsjy/bs.htm
电气与控制工程学院,http://dianqi.sust.edu.cn/,http://dianqi.sust.edu.cn//szdw/szmd.htm
电子信息与人工智能学院,http://dianzhi.www.sust.edu.cn/,http://dianzhi.www.sust.edu.cn/yjsjy2/sbds.htm
经济与管理学院（亚欧贸易与数字经济学院）,https://jg.sust.edu.cn/,https://jg.sust.edu.cn/szdw1/bssds.htm
化学与化工学院,https://hg.sust.edu.cn/,https://hg.sust.edu.cn//szll/gccrc.htm
设计与艺术学院（丝路文化与传播学院）,http://sj.sust.edu.cn/,https://sj.sust.edu.cn/szdw/sssds.htm
数学与数据科学学院,http://sx.sust.edu.cn/,https://sx.sust.edu.cn/szdw1/xsdtr.htm
物理与信息科学学院 ,http://wl.sust.edu.cn/,https://wl.sust.edu.cn/szdw/bssds1.htm
文化与教育学院,https://wj.sust.edu.cn,https://wj.sust.edu.cn/szdw/dxyyjxyb.htm
马克思主义学院,http://sz.sust.edu.cn/,http://sz.sust.edu.cn//szdw/dsfc.htm
