text,href,twebsite
基础医学院,http://jc.ahmu.edu.cn/,https://jc.ahmu.edu.cn/index/nav/121.html
公共卫生学院,http://ggws.ahmu.edu.cn/,https://ggws.ahmu.edu.cn/939/list.htm
口腔医学院,http://ahskqyy.ahmu.edu.cn/,http://ahskqyy.ahmu.edu.cn/list_276.aspx
卫生管理学院,http://wgxy.ahmu.edu.cn,http://wgxy.ahmu.edu.cn/4955/list.htm
药学院,http://yxy.ahmu.edu.cn,http://yxy.ahmu.edu.cn/szdw_7842/list.htm
马克思主义学院,http://marx.ahmu.edu.cn/,https://marx.ahmu.edu.cn/6132/list.htm
生命科学学院,http://life.ahmu.edu.cn,https://life.ahmu.edu.cn/teacher-list/1.html
生物医学工程学院,http://bme.ahmu.edu.cn/,http://bme.ahmu.edu.cn/szdw/list.htm
人文医学学院,http://rwyx.ahmu.edu.cn,http://rwyx.ahmu.edu.cn/8900/list.htm
精神卫生与心理科学学院,https://psy.ahmu.edu.cn/,https://psy.ahmu.edu.cn/index/nav/65.html
法学院,http://law.ahmu.edu.cn/,http://law.ahmu.edu.cn/7890/list.htm
