text,href,twebsite
外国语学院,http://www.cfl.cqu.edu.cn/,http://www.cfl.cqu.edu.cn//xygk/szdw.htm
艺术学院,http://www.arts.cqu.edu.cn/,http://www.arts.cqu.edu.cn//szdw/ltxzj.htm
体育学院,http://sports.cqu.edu.cn/,http://sports.cqu.edu.cn//kxyj/szdw.htm
美视电影学院,http://www.msfilm.cqu.edu.cn/,http://www.msfilm.cqu.edu.cn//szdw/qtjs.htm
博雅学院/人文社会科学高等研究院,http://lac.cqu.edu.cn/,http://lac.cqu.edu.cn//szdw/qtjs.htm
公共管理学院,http://cpa.cqu.edu.cn/,http://cpa.cqu.edu.cn//szdw/qtjs/js_yjy.htm
经济与工商管理学院,http://seba.cqu.edu.cn/,http://seba.cqu.edu.cn//szll/szll.htm
新闻学院,http://sj.cqu.edu.cn/,https://sj.cqu.edu.cn/szdw/zzjs.htm
法学院,http://law.cqu.edu.cn/,http://law.cqu.edu.cn//szdw1/zrjs1/flx.htm
马克思主义学院,http://mkszy.cqu.edu.cn/,http://mkszy.cqu.edu.cn//xbwz/szdw/js_yjy_.htm
数学与统计学院,http://sci.cqu.edu.cn/,http://sci.cqu.edu.cn//xwz/szlb.jsp?urltype=tree.TreeTempUrl&wbtreeid=1329
物理学院,http://phys.cqu.edu.cn/,http://phys.cqu.edu.cn//szdw1/xysz.htm
化学化工学院,http://hgxy.cqu.edu.cn/,http://hgxy.cqu.edu.cn//szll/zzjs.htm
生命科学学院,http://life.cqu.edu.cn/,http://life.cqu.edu.cn//szdw/szgk.htm
机械与运载工程学院,http://mve.cqu.edu.cn/,https://mve.cqu.edu.cn/szdw/szgk.htm
电气工程学院,http://www.cee.cqu.edu.cn/,http://www.cee.cqu.edu.cn//szdw/szgk.htm
能源与动力工程学院,http://cte.cqu.edu.cn/,http://cte.cqu.edu.cn//szdw/szgk.htm
资源与安全学院,http://www.res.cqu.edu.cn/,http://www.res.cqu.edu.cn//szdui/yxyl.htm
材料科学与工程学院,http://www.cmse.cqu.edu.cn/,http://www.cmse.cqu.edu.cn//szdw/jgml.htm
航空航天学院,http://ae.cqu.edu.cn/,http://ae.cqu.edu.cn//szdw.htm
重庆大学-辛辛那提大学联合学院,http://uc.cqu.edu.cn/,http://uc.cqu.edu.cn//xygk/mfsz.htm
国家（重庆）卓越工程师学院,http://eie.cqu.edu.cn/,http://eie.cqu.edu.cn//FacultyStaff/Faculty.htm
建筑城规学院,http://chongjian.cqu.edu.cn/,https://chongjian.cqu.edu.cn/szdw/jsdw/js.htm
土木工程学院,http://civil.cqu.edu.cn/,https://civil.cqu.edu.cn/xzwb/szdw/szgk.htm
环境与生态学院,http://huanjing.cqu.edu.cn/,http://huanjing.cqu.edu.cn///system/resource/code/nocolumn.jsp
管理科学与房地产学院,http://www.msre.cqu.edu.cn/,http://www.msre.cqu.edu.cn//szdw/szgk.htm
光电工程学院,http://coe.cqu.edu.cn/,http://coe.cqu.edu.cn//szdw/j____s.htm
微电子与通信工程学院,http://www.ccee.cqu.edu.cn/,http://www.ccee.cqu.edu.cn//xbwz/szll/sssds.htm
计算机学院,http://www.cs.cqu.edu.cn/,http://www.cs.cqu.edu.cn//xbwz/szdw/szgk.htm
自动化学院,http://accu.cqu.edu.cn/,http://accu.cqu.edu.cn//szdw/js.htm
大数据与软件学院,http://www.cse.cqu.edu.cn/,http://www.cse.cqu.edu.cn//szdw1.htm
医学院,http://med.cqu.edu.cn/,http://med.cqu.edu.cn//szdw.htm
药学院/创新药物研究中心,http://sps.cqu.edu.cn/,https://sps.cqu.edu.cn/szdw/szgk.htm
生物工程学院,http://bio.cqu.edu.cn/,http://bio.cqu.edu.cn//xbwz/szll/zzry.htm
