text,href,twebsite
地理科学学院,http://dlkx.hunnu.edu.cn/,http://dlkx.hunnu.edu.cn//szdw/dlkxx/js.htm
法学院,http://fxy.hunnu.edu.cn/,http://fxy.hunnu.edu.cn//szdw1/szdw.htm
公共管理学院,http://ggxy.hunnu.edu.cn/,http://ggxy.hunnu.edu.cn//szdw/fzgk.htm
工程与设计学院（职业技术学院）,http://gsy.hunnu.edu.cn,http://gsy.hunnu.edu.cn/http://jyt.hunan.gov.cn/jyt/sjyt/hnzxxjsfzzx/jsfzzxtzgg/202404/t20240401_33267127.html
国际汉语文化学院,http://icclc.hunnu.edu.cn/,http://icclc.hunnu.edu.cn//szdw.htm
化学化工学院,http://hgxy.hunnu.edu.cn/,http://hgxy.hunnu.edu.cn//szdw1/szgk1.htm
教育科学学院,http://jky.hunnu.edu.cn/,http://jky.hunnu.edu.cn//szdw/jsgk.htm
历史文化学院,http://ls.hunnu.edu.cn,http://ls.hunnu.edu.cn/szdw/js.htm
旅游学院,http://lyxy.hunnu.edu.cn,http://lyxy.hunnu.edu.cn/szdw/zrjs.htm
马克思主义学院,http://mks.hunnu.edu.cn/,http://mks.hunnu.edu.cn//szdw1.htm
美术学院,http://msxy.hunnu.edu.cn/,http://msxy.hunnu.edu.cn//sz1.htm
商学院,http://sxy.hunnu.edu.cn,http://sxy.hunnu.edu.cn/szdw/gccrc.htm
生命科学学院,http://lifescience.hunnu.edu.cn/,http://lifescience.hunnu.edu.cn//szdw/gccrc.htm
树达学院,http://sdw.hunnu.edu.cn,http://sdw.hunnu.edu.cn/jxky/szll.htm
数学与统计学院,http://mc.hunnu.edu.cn/,http://mc.hunnu.edu.cn//szdw/szgk1.htm
体育学院,http://tyxy.hunnu.edu.cn/,http://tyxy.hunnu.edu.cn//szdw_list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1297
外国语学院,https://fsc.hunnu.edu.cn/home.htm,https://fsc.hunnu.edu.cn/xygk/szdw/gccrc.htm
文学院,http://sdwxy.hunnu.edu.cn/,http://sdwxy.hunnu.edu.cn//szdw/szgk.htm
物理与电子科学学院,http://wdy.hunnu.edu.cn,http://wdy.hunnu.edu.cn/szdw/szgk2.htm
新闻与传播学院,http://xwxy.hunnu.edu.cn/,http://xwxy.hunnu.edu.cn//szdw/js.htm
信息科学与工程学院,http://cise.hunnu.edu.cn,http://cise.hunnu.edu.cn/szdw1/szgk1.htm
医学院,http://med.hunnu.edu.cn/,http://med.hunnu.edu.cn//gjjlyhz/szdw1.htm
音乐学院,http://yyxy.hunnu.edu.cn/,http://yyxy.hunnu.edu.cn//xygk/szdw.htm
教师教育学院（教师教学发展中心）,http://jsjy.hunnu.edu.cn/,http://jsjy.hunnu.edu.cn//info/1887/7198.htm
