text,href,twebsite
地球科学学院,http://www.cup.edu.cn/geosci,https://www.cup.edu.cn/geosci/szdw/gccrc/index.htm
石油工程学院,http://www.cup.edu.cn/oil/,https://www.cup.edu.cn/oil/jsdw/gccrc/150192.htm
化学工程与环境学院,http://www.cup.edu.cn/chem/,https://www.cup.edu.cn/chem/szjs/gccrc/index.htm
机械与储运工程学院,http://www.cup.edu.cn/mte/,https://www.cup.edu.cn/mte/szdw/szgk/index.htm
地球物理学院,http://www.cup.edu.cn/geophysics/,https://www.cup.edu.cn/geophysics/szdw/gccrc/index.htm
安全与海洋工程学院,http://www.cup.edu.cn/safety/,https://www.cup.edu.cn/safety/szdw/index.htm
新能源与材料学院,http://www.cup.edu.cn/cnem/,http://www.cup.edu.cn/cnem//szdw/index.htm
信息科学与工程学院/人工智能学院,http://www.cup.edu.cn/cise/,http://www.cup.edu.cn/cise//szdw/index.htm
理学院,http://www.cup.edu.cn/science/,http://www.cup.edu.cn/science//szdw/xysz/index.htm
经济管理学院,http://www.cup.edu.cn/sba/,http://www.cup.edu.cn/sba//szdwgb/kjxgb/index.htm
马克思主义学院,http://www.cup.edu.cn/rwsk/,http://www.cup.edu.cn/rwsk//teacher/intro/index.htm
体育与人文艺术学院,http://www.cup.edu.cn/tiyubu/,https://www.cup.edu.cn/tiyubu/sydh/szdw/szgk/index.htm
碳中和未来技术学院,https://www.cup.edu.cn/CCNFT/,https://www.cup.edu.cn/CCNFT//szdw/szdw2/index.htm
