text,href,twebsite
数学学院,http://math.xjtu.edu.cn/,http://math.xjtu.edu.cn//szdw/szgk.htm
物理学院,http://phy.xjtu.edu.cn/,http://phy.xjtu.edu.cn//szdw.htm
化学学院,http://chem.xjtu.edu.cn/,http://chem.xjtu.edu.cn//szdw1/szgk.htm
机械学院,http://mec.xjtu.edu.cn/,http://mec.xjtu.edu.cn//szdw/jcrc.htm
电气学院,http://ee.xjtu.edu.cn/,http://ee.xjtu.edu.cn//szdw/ys.htm
能动学院,http://epe.xjtu.edu.cn/,http://epe.xjtu.edu.cn//szdw/szgk.htm
人工智能学院,http://www.aiar.xjtu.edu.cn/,http://www.aiar.xjtu.edu.cn//szdw/js.htm
材料学院,http://mse.xjtu.edu.cn/,http://mse.xjtu.edu.cn//szdw/szgk.htm
人居学院,http://hsce.xjtu.edu.cn,http://hsce.xjtu.edu.cn/szdw/szgk.htm
生命学院,http://slst.xjtu.edu.cn/,http://slst.xjtu.edu.cn//szdw/szgk.htm
航天学院,http://sae.xjtu.edu.cn/,http://sae.xjtu.edu.cn//szdw/dwgk.htm
化工学院,http://clet.xjtu.edu.cn/,http://clet.xjtu.edu.cn//szdw/szgk.htm
仪器科学与技术学院 ,http://ist.xjtu.edu.cn/,http://ist.xjtu.edu.cn//szdw/jcrc.htm
经金学院,http://sef.xjtu.edu.cn/,http://sef.xjtu.edu.cn//szdw/jszy.htm
管理学院,http://som.xjtu.edu.cn/,http://som.xjtu.edu.cn//szdw.htm
公管学院,http://sppa.xjtu.edu.cn/,http://sppa.xjtu.edu.cn//szdw/jsxx.htm
人文学院,http://rwxy.xjtu.edu.cn/,http://rwxy.xjtu.edu.cn//szdw/szgk.htm
新媒体学院,http://xmtxy.xjtu.edu.cn/,http://xmtxy.xjtu.edu.cn//szdw/rcyj.htm
马克思主义学院,http://marx.xjtu.edu.cn/,http://marx.xjtu.edu.cn//szdw/rcyj.htm
法学院,http://fxy.xjtu.edu.cn/,http://fxy.xjtu.edu.cn//sz/qzjs.htm
外国语学院,http://sfs.xjtu.edu.cn/,http://sfs.xjtu.edu.cn//info/1243/7398.htm
钱学森学院,http://bjb.xjtu.edu.cn/,http://bjb.xjtu.edu.cn//ryjy/szll.htm
联合设计与创新学院,http://jsdi.xjtu.edu.cn/,https://jsdi.xjtu.edu.cn/jsml2/gysj/zf/js.htm
国家卓越工程师学院,http://nse.xjtu.edu.cn,http://nse.xjtu.edu.cn/xygk/szdw.htm
国际教育学院,http://sie.xjtu.edu.cn/,https://sie.xjtu.edu.cn/yxxx/dsxx.htm
