text,href,twebsite
能源与动力工程学院,http://ndxy.usst.edu.cn/ ,https://ndxy.usst.edu.cn/14368/list.htm
光电信息与计算机工程学院,http://oece.usst.edu.cn/,http://oece.usst.edu.cn//http://oece.usst.edu.cn/qtjs/list.htm
管理学院,http://bs.usst.edu.cn/,https://bs.usst.edu.cn/10552/list.htm
机械工程学院,http://me.usst.edu.cn/ ,https://me.usst.edu.cn/szdw/list.htm
外语学院,http://waiyu.usst.edu.cn/,http://waiyu.usst.edu.cn///5536/list.htm
环境与建筑学院,http://sea.usst.edu.cn/,http://sea.usst.edu.cn///1638/list.htm
健康科学与工程学院,http://jiankang.usst.edu.cn/,http://jiankang.usst.edu.cn///4131/list.htm
出版学院,http://ccad.usst.edu.cn/ ,https://ccad.usst.edu.cn/szdw/list.htm
理学院,http://lxy.usst.edu.cn/,http://lxy.usst.edu.cn///2244/list.htm
材料与化学学院,http://chxy.usst.edu.cn/,https://chxy.usst.edu.cn/2023/0520/c3603a298143/page.htm
马克思主义学院,http://mksxy.usst.edu.cn/,http://mksxy.usst.edu.cn///2713/list.htm
沪江学院,http://hujiang.usst.edu.cn/,http://hujiang.usst.edu.cn///11163/list.htm
东方泛血管器械创新学院,http://opic.usst.edu.cn/,http://opic.usst.edu.cn///szdw/list.htm
创新创业学院,http://cxcy.usst.edu.cn,http://cxcy.usst.edu.cn//szdw/list.htm
