text,href,twebsite
交通运输工程学院,https://www.csust.edu.cn/jtysgcxy/,https://www.csust.edu.cn/jtysgcxy//szdw/szgk.htm
化学化工学院,https://www.csust.edu.cn/hxhgxy/index.htm,https://www.csust.edu.cn/hxhgxy/index.htm/szdw.htm
土木工程学院,https://www.csust.edu.cn/tmjz/,https://www.csust.edu.cn/tmjz//szdw.htm
材料科学与工程学院,https://www.csust.edu.cn/clgcxy/index.htm,https://www.csust.edu.cn/clgcxy/index.htm/szdw/szgk.htm
电气与信息工程学院,https://www.csust.edu.cn/dq/index.htm,https://www.csust.edu.cn/dq/index.htm/szdw/szgk.htm
马克思主义学院,https://www.csust.edu.cn/mksxy/index.htm,https://www.csust.edu.cn/mksxy/index.htm/szdw.htm
经济与管理学院,https://www.csust.edu.cn/jgxy/index.htm,https://www.csust.edu.cn/jgxy/index.htm/szdw.htm
文学与新闻传播学院,https://www.csust.edu.cn/wfxy/index.htm,https://www.csust.edu.cn/wfxy/index.htm/szdw.htm
水利与环境工程学院,https://www.csust.edu.cn/slgc/index.htm,https://www.csust.edu.cn/slgc/index.htm/xygk1/szdw1.htm
法学院,https://www.csust.edu.cn/cslgfxx/,https://www.csust.edu.cn/cslgfxx//szdw/szgk.htm
汽车与机械工程学院,https://www.csust.edu.cn/qjxy/index.htm,https://www.csust.edu.cn/qjxy/index.htm/szdw/szjj.htm
外国语学院,https://www.csust.edu.cn/wgyxy/index.htm,https://www.csust.edu.cn/wgyxy/index.htm/szdw.htm
能源与动力工程学院,https://www.csust.edu.cn/ndxy/index.htm,https://www.csust.edu.cn/ndxy/index.htm/szdw.htm
设计艺术学院,https://www.csust.edu.cn/ysxy/index.htm,https://www.csust.edu.cn/ysxy/yjsjy/dsfc.htm
计算机与通信工程学院、移动互联网学院,https://www.csust.edu.cn/jtxy/index.htm,https://www.csust.edu.cn/jtxy/index.htm/szdw/szjj.htm
体育学院,https://www.csust.edu.cn/tyxy/index.htm,https://www.csust.edu.cn/tyxy/index.htm/szdw.htm
建筑学院,https://www.csust.edu.cn/jzxy/,https://www.csust.edu.cn/jzxy//szdw/szgk.htm
国际工学院,https://www.csust.edu.cn/gjxy/,https://www.csust.edu.cn/gjxy/jsdw.htm
食品与生物工程学院,https://www.csust.edu.cn/spyswgcxy/index.htm,https://www.csust.edu.cn/spyswgcxy/index.htm/szdw.htm
卓越工程师学院,https://www.csust.edu.cn/cxcyjyxy/index.htm,https://www.csust.edu.cn/cxcyjyxy/xygk/xyld.htm
数学与统计学院,https://www.csust.edu.cn/stxy/index.htm,https://www.csust.edu.cn/stxy/index.htm/szll/szgk.htm
物理与电子科学学院,https://www.csust.edu.cn/wdxy/index.htm,https://www.csust.edu.cn/wdxy/index.htm/szdw/szgk.htm
