text,href,twebsite
材料科学与工程学院,http://smse.whut.edu.cn/,http://smse.whut.edu.cn/szdw/
材料科学与工程国际化示范学院,http://ismse.whut.edu.cn/,http://ismse.whut.edu.cn/rcpy/szll/
（材料与微电子学院）,http://ismse.whut.edu.cn/,http://ismse.whut.edu.cn/rcpy/szll/
汽车工程学院,http://auto.whut.edu.cn/,http://auto.whut.edu.cn/szzk/
机电工程学院,http://smee.whut.edu.cn/,http://smee.whut.edu.cn/rsgz/szdw/
土木工程与建筑学院,http://scea.whut.edu.cn/,http://scea.whut.edu.cn/szdw/
资源与环境工程学院,http://sree.whut.edu.cn/,http://sree.whut.edu.cn//./rsrc/szpy/
信息工程学院,http://wutinfo.whut.edu.cn/,http://wutinfo.whut.edu.cn/xygk/szjg/
计算机与人工智能学院,http://cst.whut.edu.cn/,http://cst.whut.edu.cn/rsgl/szpy/
自动化学院,http://sa.whut.edu.cn/,http://sa.whut.edu.cn/yjspy/dsdw/
航运学院,http://sn.whut.edu.cn/,http://sn.whut.edu.cn/szdw/
理学院,http://ssci.whut.edu.cn/,http://ssci.whut.edu.cn/szdw/
化学化工与生命科学学院,http://sccels.whut.edu.cn/,http://sccels.whut.edu.cn/szdw/
艾克斯马赛学院,http://amucwut.whut.edu.cn/,http://amucwut.whut.edu.cn/szdw/
管理学院,http://som.whut.edu.cn/,http://som.whut.edu.cn/rsgz/szdw/
经济学院,http://econ.whut.edu.cn/,http://econ.whut.edu.cn/szdw/
艺术与设计学院,http://a-d.whut.edu.cn/,http://a-d.whut.edu.cn/gy/jsdw/
外国语学院,http://sfl.whut.edu.cn/,http://sfl.whut.edu.cn/szdw/
马克思主义学院,http://mkszyxy.whut.edu.cn/,http://mkszyxy.whut.edu.cn/rsrc/szdw/
法学与人文社会学院,http://wenfa.whut.edu.cn/,http://wenfa.whut.edu.cn/szdw/
安全科学与应急管理学院,http://sem.whut.edu.cn/,http://sem.whut.edu.cn//../../rsrc/szdw/
国际教育学院,http://sie.whut.edu.cn/,http://sie.whut.edu.cn/xygk/szdw/
创业学院,http://sen.whut.edu.cn/,http://sen.whut.edu.cn/xygk/szdw/
体育学院,http://sports.whut.edu.cn/,http://sports.whut.edu.cn/ssfc/jsff/
