text,href,twebsite
材料科学与工程学院,http://www.mse.buaa.edu.cn/,http://www.mse.buaa.edu.cn//info/1037/6878.htm
电子信息工程学院,http://www.ee.buaa.edu.cn/,http://www.ee.buaa.edu.cn//szdw/zmxz/ysjj.htm
自动化科学与电气工程学院,http://dept3.buaa.edu.cn/,http://dept3.buaa.edu.cn//szjs.htm
能源与动力工程学院,http://sepe.buaa.edu.cn/,http://sepe.buaa.edu.cn//info/1059/5941.htm
航空科学与工程学院,http://www.ase.buaa.edu.cn/,http://www.ase.buaa.edu.cn//szdw/szgk.htm
计算机学院,http://scse.buaa.edu.cn/,http://scse.buaa.edu.cn//szdw/qtjs.htm
机械工程及自动化学院,http://www.me.buaa.edu.cn/,http://www.me.buaa.edu.cn//gjhz1/szjl.htm
经济管理学院,http://sem.buaa.edu.cn/,http://sem.buaa.edu.cn//szll/szdw.htm
数学科学学院,http://math.buaa.edu.cn/,http://math.buaa.edu.cn//szdw1.htm
生物与医学工程学院,http://bme.buaa.edu.cn/,http://bme.buaa.edu.cn//teachers.aspx?catID=7
人文社会科学学院（公共管理学院）,http://www.hss.buaa.edu.cn/,http://www.hss.buaa.edu.cn//szdw1/qzjs1/qb.htm
外国语学院,http://fld.buaa.edu.cn/,http://fld.buaa.edu.cn//szdw.htm
交通科学与工程学院,http://transportation.buaa.edu.cn/,http://transportation.buaa.edu.cn//szdw/szdw/jtysx.htm
可靠性与系统工程学院,http://rse.buaa.edu.cn,http://rse.buaa.edu.cn/szdw/szgk.htm
宇航学院,http://www.sa.buaa.edu.cn/,http://www.sa.buaa.edu.cn//szdw/szjj.htm
飞行学院,http://flying.buaa.edu.cn/,https://flying.buaa.edu.cn/bkspy/jsfc.htm
仪器科学与光电工程学院,http://yqgdxy.buaa.edu.cn/,http://yqgdxy.buaa.edu.cn//sz/cxtd.htm
物理学院,http://physics.buaa.edu.cn/,http://physics.buaa.edu.cn//szll/szdw.htm
法学院,http://fxy.buaa.edu.cn/,http://fxy.buaa.edu.cn//szdw/szgk.htm
软件学院,http://soft.buaa.edu.cn/,https://soft.buaa.edu.cn/tu-list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1323
"沈元学院（高等理工学院/
未来空天技术学院/国家卓越工程师学院）",https://hc.buaa.edu.cn/,https://hc.buaa.edu.cn//rcpy/szdw1/skjs.htm
中法工程师学院,http://ecpkn.buaa.edu.cn/,http://ecpkn.buaa.edu.cn//szdw/szgc.htm
新媒体艺术与设计学院,http://art.buaa.edu.cn/,http://art.buaa.edu.cn//szdw/hhx/gjhhx.htm
化学学院,http://sce.buaa.edu.cn/,http://sce.buaa.edu.cn//szll.htm
马克思主义学院,http://ipth.buaa.edu.cn/,http://ipth.buaa.edu.cn//szdw2/jcjyb.htm
空间与环境学院,http://sse.buaa.edu.cn/,http://sse.buaa.edu.cn//szll/jsml.htm
北航学院,http://bhc.buaa.edu.cn/,https://bhc.buaa.edu.cn/xygk/tpry.htm
医学科学与工程学院 / 医工交叉创新研究院,http://ygy.buaa.edu.cn,http://ygy.buaa.edu.cn/szdw1/jcrc1/ys.htm
网络空间安全学院,http://cst.buaa.edu.cn,http://cst.buaa.edu.cn/szll/szgk.htm
集成电路科学与工程学院,http://www.sme.buaa.edu.cn,http://www.sme.buaa.edu.cn/szdw/szjj.htm
人工智能学院（人工智能研究院）,http://iai.buaa.edu.cn/,http://iai.buaa.edu.cn//szdw.htm
杭州国际创新研究院（国际创新学院）•中法航空学院,http://zfai.buaa.edu.cn/,http://zfai.buaa.edu.cn//szdw1/szdw/szdw.htm
