text,href,twebsite
马克思主义学院,http://som.shufe.edu.cn/,https://som.sufe.edu.cn/8713/list.htm
会计学院,http://sa.shufe.edu.cn/,https://sa.sufe.edu.cn/2754/list.htm
金融学院,http://sof.shufe.edu.cn/,https://sof.sufe.edu.cn/jzyg/list.htm
商学院,http://cob.shufe.edu.cn/,https://cob.sufe.edu.cn/Teacher/List/1767
经济学院,http://econ.shufe.edu.cn/,https://econ.sufe.edu.cn/jzyg/main.htm
公共经济与管理学院,http://spea.shufe.edu.cn/,https://spea.sufe.edu.cn/1130/list.htm
统计与管理学院,http://ssm.shufe.edu.cn/,https://ssm.sufe.edu.cn/709/list.htm
信息管理与工程学院,http://sime.shufe.edu.cn/,https://sime.sufe.edu.cn/szdw1_10572/list.htm
法学院,http://law.shufe.edu.cn/,https://law.sufe.edu.cn/7934/list.htm
人文学院,http://sh.shufe.edu.cn/,https://sh.sufe.edu.cn/3486/list.htm
外国语学院,http://sfs.shufe.edu.cn/,https://sfs.sufe.edu.cn/3929/list.htm
数学学院,http://math.shufe.edu.cn/,https://math.sufe.edu.cn/1985/main.psp
滴水湖高级金融学院,https://dafi.sufe.edu.cn,https://dafi.sufe.edu.cn/qzjs/list.htm
城市与区域科学学院、财经研究所,http://ife.shufe.edu.cn/,https://ife.sufe.edu.cn/3360/list.htm
国际文化交流学院,http://ices.shufe.edu.cn/,https://ices.sufe.edu.cn/9617/list.htm
国际教育学院,https://iec.shufe.edu.cn/,https://iec.sufe.edu.cn/jsfc/list.htm
创业学院,http://sei.shufe.edu.cn/,https://sei.sufe.edu.cn/9880/list.htm
上海财经大学浙江学院,http://www.shufe-zj.edu.cn/,http://www.shufe-zj.edu.cn//http://shufezj.portal.chaoxing.com/
上海国际银行金融学院,http://www.sibfi.com/,http://www.sibfi.com///portal/list/index/id/46.html
