text,href,twebsite
少年班学院,https://sgy.ustc.edu.cn/,https://sgy.ustc.edu.cn/teacher
数学科学学院,https://math.ustc.edu.cn/,https://math.ustc.edu.cn///azcp/list.htm
物理学院,https://physics.ustc.edu.cn/,https://physics.ustc.edu.cn/2010/1012/c3613a31305/page.htm
化学与材料科学学院,https://scms.ustc.edu.cn/,https://scms.ustc.edu.cn/2010/0910/c2399a28415/page.htm
工程科学学院,https://ses.ustc.edu.cn/,http://ses.ustc.edu.cn/1672/list.htm
信息科学技术学院,https://sist.ustc.edu.cn/,https://sist.ustc.edu.cn///5140/list.htm
计算机科学与技术学院,https://cs.ustc.edu.cn/,http://cs.ustc.edu.cn/zgj_23225/list.htm
网络空间安全学院,https://cybersec.ustc.edu.cn/,https://cybersec.ustc.edu.cn///szdw_23805/list.htm
微电子学院,https://sme.ustc.edu.cn/,https://sme.ustc.edu.cn/ys/list.htm
软件学院,https://sse.ustc.edu.cn/,https://sse.ustc.edu.cn/19871/list.htm
地球和空间科学学院,https://ess.ustc.edu.cn/,https://ess.ustc.edu.cn///szdw/list.htm
生命科学学院,https://biox.ustc.edu.cn/,https://biox.ustc.edu.cn/2010/0903/c24187a473051/page.htm
基础医学院,https://jcyx.ustc.edu.cn/,https://jcyx.ustc.edu.cn/lyys/list.htm
临床医学院,https://lcyx.ustc.edu.cn/,https://lcyx.ustc.edu.cn///szpy/list.htm
生物医学工程学院,https://bme.ustc.edu.cn,http://bme.ustc.edu.cn/ys/list.htm
管理学院,https://som.ustc.edu.cn/,https://bs.ustc.edu.cn/chinese/teacher-1001.html
公共事务学院,https://pas.ustc.edu.cn/,https://pas.ustc.edu.cn/szdw_35641/list.htm
人文与社会科学学院,https://hsss.ustc.edu.cn/,https://hsss.ustc.edu.cn///2024/0510/c20043a640501/page.htm
马克思主义学院,https://marx.ustc.edu.cn/,https://marx.ustc.edu.cn///szgl/list.htm
核科学技术学院,https://www.snst.ustc.edu.cn/,http://www.snst.ustc.edu.cn/3958/list.htm
未来技术学院,http://set.ustc.edu.cn,https://set.ustc.edu.cn/bzr/list.htm
环境科学与光电技术学院（科教融合学院）,https://env.ustc.edu.cn/,https://env.ustc.edu.cn/9575/list.htm
