text,href,twebsite
文学院 ,http://chinese.cnu.edu.cn/,http://chinese.cnu.edu.cn//xygk/szdw/index.htm
历史学院 ,http://history.cnu.edu.cn/,http://history.cnu.edu.cn//szdw/dwjs/index.htm
政法学院 ,http://zf.cnu.edu.cn/,http://zf.cnu.edu.cn//szdw/zxx/index.htm
教育学院 ,https://coe.cnu.edu.cn/,https://coe.cnu.edu.cn//szdw/index.htm
教师教育学院,http://jsjy.cnu.edu.cn,http://jsjy.cnu.edu.cn/szdw111/index.htm
心理学院,https://psy.cnu.edu.cn/,https://psy.cnu.edu.cn//szdw/dwzl/index.htm
外国语学院 ,http://waiyuan.cnu.edu.cn/,http://waiyuan.cnu.edu.cn//wyjs/szdw/index.htm
马克思主义学院 ,http://my.cnu.edu.cn/,http://my.cnu.edu.cn//szdw/dwjs/index.htm
管理学院 ,http://glxy.cnu.edu.cn,http://glxy.cnu.edu.cn/szll/dwgk/index.htm
音乐学院,http://music.cnu.edu.cn,http://music.cnu.edu.cn/xygk/szdw/index.htm
美术学院 ,http://art.cnu.edu.cn/,https://art.cnu.edu.cn/xyjs/ghjs/index.htm
数学科学学院 ,http://math.cnu.edu.cn/,http://math.cnu.edu.cn//INTERNATIONAL/gjszdw/index.htm
生命科学学院 ,http://smkxxy.cnu.edu.cn/,http://smkxxy.cnu.edu.cn//szdw/index.htm
资源环境与旅游学院 ,http://cret.cnu.edu.cn/,http://cret.cnu.edu.cn//szdw/index.htm
信息工程学院 ,https://iec.cnu.edu.cn/,https://iec.cnu.edu.cn//skfw/szpx/index.htm
初等教育学院 ,http://cjy.cnu.edu.cn/,http://cjy.cnu.edu.cn//szdw/index.htm
学前教育学院 ,http://xqjyxy.cnu.edu.cn/,http://xqjyxy.cnu.edu.cn//szdw/szgk/index.htm
京疆学院 ,http://jjxy.cnu.edu.cn/,https://jjxy.cnu.edu.cn/zjdw/index.htm
国际文化学院 ,http://cie.cnu.edu.cn/,http://cie.cnu.edu.cn//szll/szgk/index.htm
燕都学院 ,http://ydxy.cnu.edu.cn/,https://ydxy.cnu.edu.cn/rcpy/xsxbyzqkh/index.htm
中国国学教育学院,https://guoxue.cnu.edu.cn/,https://guoxue.cnu.edu.cn/xyjs/index.htm
科德学院,http://www.kdcnu.com/,https://www.kdcnu.com/xygk/msfc/A080104index_1.htm
