text,href,twebsite
土木与资源工程学院,http://cres.ustb.edu.cn/,http://cres.ustb.edu.cn//szdw/index.htm
冶金与生态工程学院,http://metall.ustb.edu.cn/,https://metall.ustb.edu.cn/szdw/ysfc/index.htm
材料科学与工程学院,http://mse.ustb.edu.cn/,http://mse.ustb.edu.cn///shiziduiwu/
机械工程学院,http://me.ustb.edu.cn/,http://me.ustb.edu.cn///shiziduiwu/
能源与环境工程学院,http://seee.ustb.edu.cn/,http://seee.ustb.edu.cn//szdw/index.htm
自动化学院,http://saee.ustb.edu.cn/,http://saee.ustb.edu.cn///shiziduiwu/
智能科学与技术学院,http://ai.ustb.edu.cn/,http://ai.ustb.edu.cn//szdw/index.htm
计算机与通信工程学院,http://scce.ustb.edu.cn/,http://scce.ustb.edu.cn///shiziduiwu/
数理学院,http://shuli.ustb.edu.cn/,http://shuli.ustb.edu.cn///shiziduiwu/
化学与生物工程学院,http://huasheng.ustb.edu.cn/,https://huasheng.ustb.edu.cn/shiziduiwu/zhimingxuezhe/
经济管理学院,http://sem.ustb.edu.cn/,http://sem.ustb.edu.cn//szll/szdw/index.htm
文法学院,http://wenfa.ustb.edu.cn/,http://wenfa.ustb.edu.cn//szdw2/szgk/index.htm
马克思主义学院,http://marx.ustb.edu.cn/,http://marx.ustb.edu.cn///shizililiang/
外国语学院,http://sfs.ustb.edu.cn/,https://sfs.ustb.edu.cn/cn/shiziduiwu/zongtijianjie/
高等工程师学院（卓越工程师学院）,https://gcsxy.ustb.edu.cn/,https://gcsxy.ustb.edu.cn/szdw/bksds/index.htm
天津学院,http://tj.ustb.edu.cn/,http://tj.ustb.edu.cn///News/202212/202212041142591.htm
顺德创新学院,http://sd.ustb.edu.cn/,http://sd.ustb.edu.cn//szdw/index.htm
土木与资源工程学院,http://cres.ustb.edu.cn/,http://cres.ustb.edu.cn//szdw/index.htm
冶金与生态工程学院,http://metall.ustb.edu.cn/,https://metall.ustb.edu.cn/szdw/ysfc/index.htm
材料科学与工程学院,http://mse.ustb.edu.cn/,http://mse.ustb.edu.cn///shiziduiwu/
机械工程学院,http://me.ustb.edu.cn/,http://me.ustb.edu.cn///shiziduiwu/
能源与环境工程学院,http://seee.ustb.edu.cn/,http://seee.ustb.edu.cn//szdw/index.htm
自动化学院,http://saee.ustb.edu.cn/,http://saee.ustb.edu.cn///shiziduiwu/
智能科学与技术学院,http://ai.ustb.edu.cn/,http://ai.ustb.edu.cn//szdw/index.htm
计算机与通信工程学院,http://scce.ustb.edu.cn/,http://scce.ustb.edu.cn///shiziduiwu/
数理学院,http://shuli.ustb.edu.cn/,http://shuli.ustb.edu.cn///shiziduiwu/
化学与生物工程学院,http://huasheng.ustb.edu.cn/,https://huasheng.ustb.edu.cn/shiziduiwu/zhimingxuezhe/
经济管理学院,http://sem.ustb.edu.cn/,http://sem.ustb.edu.cn//szll/szdw/index.htm
文法学院,http://wenfa.ustb.edu.cn/,http://wenfa.ustb.edu.cn//szdw2/szgk/index.htm
马克思主义学院,http://marx.ustb.edu.cn/,http://marx.ustb.edu.cn///shizililiang/
外国语学院,http://sfs.ustb.edu.cn/cn/,http://sfs.ustb.edu.cn/cn///cn/shiziduiwu/
高等工程师学院,https://gcsxy.ustb.edu.cn/,https://gcsxy.ustb.edu.cn/szdw/bksds/index.htm
