text,href,twebsite
机电工程学院,http://jdxy.cjlu.edu.cn,http://jdxy.cjlu.edu.cn/szdw1/szgk.htm
计量测试与仪器学院,http://jlcs.cjlu.edu.cn,http://jlcs.cjlu.edu.cn/szdw.htm
信息工程学院,http://xxgcxy.cjlu.edu.cn,https://xxgcxy.cjlu.edu.cn/info/1221/1574.htm
光学与电子科技学院,http://gdxy.cjlu.edu.cn/,http://gdxy.cjlu.edu.cn//szdw.htm
材料与化学学院,http://clxy.cjlu.edu.cn,http://clxy.cjlu.edu.cn/szdw/szjj.htm
能源环境与安全工程学院,http://naxy.cjlu.edu.cn/,http://naxy.cjlu.edu.cn//szdw1/szyl.htm
经济与管理学院,http://em.cjlu.edu.cn,http://em.cjlu.edu.cn/szdw/jsdw.htm
理学院,http://lxy.cjlu.edu.cn/,http://lxy.cjlu.edu.cn//xygk/szdw.htm
生命科学学院,http://cls.cjlu.edu.cn/,https://cls.cjlu.edu.cn/szdw/jsfc.htm
法学院（知识产权学院）,http://fxy.cjlu.edu.cn/,http://fxy.cjlu.edu.cn//info/1117/12505.htm
人文与外语学院,http://rw.cjlu.edu.cn/,https://rw.cjlu.edu.cn/xygk/jsfc1/dxwyjxyb.htm
艺术与传播学院,http://ysycb.cjlu.edu.cn/,http://ysycb.cjlu.edu.cn//xkjs/szdw.htm
质量与标准化学院,http://zby.cjlu.edu.cn/,http://zby.cjlu.edu.cn//xygk1/szdw.htm
量新学院,http://lxxy.cjlu.edu.cn,https://lxxy.cjlu.edu.cn/lxfc/msfc.htm
现代科技学院,https://www.ldxk.edu.cn/,https://www.ldxk.edu.cn///57/list.htm
