text,href,twebsite
政治与公共管理学院,http://gggl.hqu.edu.cn/,http://gggl.hqu.edu.cn//list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1010
哲学与社会发展学院,http://spsd.hqu.edu.cn/,http://spsd.hqu.edu.cn//info/1114/5433.htm
音乐舞蹈学院,http://mdc.hqu.edu.cn/,http://mdc.hqu.edu.cn//szdw/ylx.htm
医学院/生物医学学院/分子药物研究院,https://sbm.hqu.edu.cn/,https://sbm.hqu.edu.cn//szdw/zyjs.htm
信息科学与工程学院,http://eee.hqu.edu.cn/,http://eee.hqu.edu.cn//szdw.htm
新闻与传播学院/厦航学院,http://sjc.hqu.edu.cn/,http://sjc.hqu.edu.cn//xygk/szdw/xwx.htm
新侨学院,http://xq.hqu.edu.cn/,http://xq.hqu.edu.cn//szdw1/xwsz.htm
文学院,http://wxy.hqu.edu.cn/,http://wxy.hqu.edu.cn//szdw.htm
外国语学院,http://flc.hqu.edu.cn/,https://flc.hqu.edu.cn/wgyxy/szdw1/yyxsz.htm
土木工程学院,http://civil.hqu.edu.cn/,http://civil.hqu.edu.cn//szdw.htm
统计学院/数量经济研究院,http://sta-iqe.hqu.edu.cn/,http://sta-iqe.hqu.edu.cn//jgsz/szdw.htm
体育学院,http://tyxy.hqu.edu.cn/,http://tyxy.hqu.edu.cn//xygk/szdw.htm
数学科学学院,http://maths.hqu.edu.cn/,https://maths.hqu.edu.cn/szdw.htm
美术学院,http://cfa.hqu.edu.cn/,http://cfa.hqu.edu.cn//szdw/xrsz.htm
马克思主义学院,http://mkszy.hqu.edu.cn/,https://mkszy.hqu.edu.cn/szll/dsjs.htm
旅游学院,http://lyxy.hqu.edu.cn/,http://lyxy.hqu.edu.cn//info/1108/3050.htm
经济与金融学院,http://sxy.hqu.edu.cn/,http://sxy.hqu.edu.cn//szdw.htm
建筑学院,http://jzxy.hqu.edu.cn/,http://jzxy.hqu.edu.cn//iplist.jsp?urltype=tree.TreeTempUrl&wbtreeid=1009
继续教育学院,http://jjxy.hqu.edu.cn/,http://jjxy.hqu.edu.cn//info/1019/2303.htm
计算机科学与技术学院,http://cst.hqu.edu.cn/,http://cst.hqu.edu.cn//szdw.htm
机电及自动化学院,http://med.hqu.edu.cn/,http://med.hqu.edu.cn//info/1041/1009.htm
化工学院,http://hgxy.hqu.edu.cn/,http://hgxy.hqu.edu.cn//szll/ys.htm
华文学院,http://hwxy.hqu.edu.cn/,http://hwxy.hqu.edu.cn//szdw/szjs.htm
国际学院/泛华学院,http://guoji.hqu.edu.cn/,http://guoji.hqu.edu.cn//xygk/szll/jwjs.htm
国际关系学院/国际关系研究院,http://cir.hqu.edu.cn/,http://cir.hqu.edu.cn//szdw.htm
工学院,http://gxy.hqu.edu.cn/,http://gxy.hqu.edu.cn//szdw.htm
工商管理学院,http://ggxy.hqu.edu.cn/,http://ggxy.hqu.edu.cn//szdw/rlzyglx.htm
法学院,http://law.hqu.edu.cn/,http://law.hqu.edu.cn//szdw/zsjs.htm
材料科学与工程学院,http://clxy.hqu.edu.cn/,http://clxy.hqu.edu.cn//szdw.htm
北京华文学院,http://www.bjhwxy.com/,http://www.bjhwxy.com//list_137.html
