text,href,twebsite
资源环境学院,http://zyhjxy.scau.edu.cn,http://zyhjxy.scau.edu.cn//szgk/list.htm
植物保护学院,http://zb.scau.edu.cn,http://zb.scau.edu.cn//szgk/list.htm
园艺学院,http://yy.scau.edu.cn,http://yy.scau.edu.cn//szgk/list.htm
艺术学院,http://art.scau.edu.cn,http://art.scau.edu.cn//2529/list.htm
外国语学院,http://sfs.scau.edu.cn,https://sfs.scau.edu.cn/3285/list.htm
水利与土木工程学院,http://wcce.scau.edu.cn/,http://wcce.scau.edu.cn///szgk/list.htm
数学与信息学院、软件学院,http://info.scau.edu.cn/,http://info.scau.edu.cn///szgk/list.htm
兽医学院,http://vet.scau.edu.cn/,http://vet.scau.edu.cn///804/list.htm
食品学院,http://spxy.scau.edu.cn,http://spxy.scau.edu.cn//szxx/list.htm
生命科学学院,http://life.scau.edu.cn,http://life.scau.edu.cn//10098/list.htm
人文与法学学院,http://rw.scau.edu.cn,http://rw.scau.edu.cn//szdwjs/list.htm
农学院,http://nxy.scau.edu.cn,http://nxy.scau.edu.cn//szdw/list.htm
马克思主义学院,http://mkszyxy.scau.edu.cn/,http://mkszyxy.scau.edu.cn///2024/0520/c15758a374987/page.htm
林学与风景园林学院,http://lf.scau.edu.cn/,http://lf.scau.edu.cn//http://webplus.scau.edu.cn/_s24/_t636/lxxk/list.psp
经济管理学院,http://cem.scau.edu.cn/,http://cem.scau.edu.cn///5575/list.htm
继续教育学院,http://jxjy.scau.edu.cn/,http://jxjy.scau.edu.cn///2024/0428/c4917a373265/page.htm
海洋学院,http://hy.scau.edu.cn/,https://hy.scau.edu.cn/szdw2/list.htm
公共管理学院,http://ggglxy.scau.edu.cn,http://ggglxy.scau.edu.cn/http://ggglxy.scau.edu.cn/xzglx/list.htm
工程学院,http://gcxy.scau.edu.cn,http://gcxy.scau.edu.cn//szll/list.htm
动物科学学院,http://dongke.scau.edu.cn/,http://dongke.scau.edu.cn///szgk/list.htm
电子工程学院（人工智能学院）,http://dzxy.scau.edu.cn,http://dzxy.scau.edu.cn/https://dzxy.scau.edu.cn/zjjs/list.htm
材料与能源学院,http://cme.scau.edu.cn,http://cme.scau.edu.cn/http://cme.scau.edu.cn/4568/list.htm
