text,href,twebsite
孔子学院,https://oec.xmu.edu.cn/index.htm,https://oec.xmu.edu.cn/index.htm/szdw/szdw/js.htm
历史与文化遗产学院,https://history.xmu.edu.cn,https://history.xmu.edu.cn/szll.htm
新闻传播学院,http://comm.xmu.edu.cn,https://comm.xmu.edu.cn/13205/list.htm
外文学院,https://cflc.xmu.edu.cn,https://cflc.xmu.edu.cn/szdw.htm
艺术学院,https://art.xmu.edu.cn,https://art.xmu.edu.cn/szdw/zrjs/ylx.htm
国际中文教育学院/海外教育学院,http://oec.xmu.edu.cn,http://oec.xmu.edu.cn/szdw/szdw/js.htm
国际学院,https://liuxue.xmu.edu.cn/,https://liuxue.xmu.edu.cn//szdw/szjs.htm
创意与创新学院,https://ici.xmu.edu.cn/,https://ici.xmu.edu.cn/sztd.htm
电影学院,http://film.xmu.edu.cn/,http://film.xmu.edu.cn//jsz.htm
