学校名称(中文),学校名称(英文),省份,综合评分,排名
重庆医科大学,Chongqing Medical University,重庆,,医12
广东工业大学,Guangdong University of Technology,广东,246.1,101
广州医科大学,Guangzhou Medical University,广东,,医13
上海理工大学,University of Shanghai for Science and Technology,上海,243.1,102
东北财经大学,Dongbei University of Finance and Economics,辽宁,,财6
上海纽约大学,New York University Shanghai,上海,,合作2
山西大学,Shanxi University,山西,241.3,103
外交学院,China Foreign Affairs University,北京,,语4
安徽大学,Anhui University,安徽,240.4,104
中央民族大学,Minzu University of China,北京,,民1
山东师范大学,Shandong Normal University,山东,237.7,105
河北工业大学,Hebei University of Technology,河北,236.8,106
青岛大学,Qingdao University,山东,236.6,107
太原理工大学,Taiyuan University of Technology,山西,236.6,107
贵州大学,Guizhou University,贵州,235.6,109
南京林业大学,Nanjing Forestry University,江苏,234.5,110
上海师范大学,Shanghai Normal University,上海,232.8,111
武汉科技大学,Wuhan University of Science and Technology,湖北,232.8,111
内蒙古大学,Inner Mongolia University,内蒙古,231.3,113
浙江理工大学,Zhejiang Sci-Tech University,浙江,231.1,114
东北林业大学,Northeast Forestry University - China,黑龙江,228.7,115
福建农林大学,Fujian Agriculture and Forestry University,福建,227.5,116
江西财经大学,Jiangxi University of Finance & Economics,江西,,财7
宁波诺丁汉大学,University of Nottingham Ningbo China,浙江,,合作3
西安理工大学,Xi'an University of Technology,陕西,227.3,117
海南大学,Hainan University,海南,226.7,118
江西师范大学,Jiangxi Normal University,江西,223.8,119
东北农业大学,Northeast Agricultural University - China,黑龙江,221.1,120
河北医科大学,Hebei Medical University,河北,,医14
长沙理工大学,Changsha University of Science and Technology,湖南,221,121
西安建筑科技大学,Xi'an University of Architecture and Technology,陕西,220.9,122
湖北大学,Hubei University,湖北,220.7,123
南京中医药大学,Nanjing University of Chinese Medicine,江苏,,医15
昆明理工大学,Kunming University of Science and Technology,云南,219.8,124
江苏师范大学,Jiangsu Normal University,江苏,213.2,125
大连医科大学,Dalian Medical University,辽宁,,医16
首都经济贸易大学,Capital University of Economics & Business,北京,,财8
山东科技大学,Shandong University of Science and Technology,山东,211.4,126
辽宁大学,Liaoning University,辽宁,209.4,127
西南石油大学,Southwest Petroleum University,四川,209.3,128
杭州师范大学,Hangzhou Normal University,浙江,209.1,129
河北大学,Hebei University,河北,208.7,130
陕西科技大学,Shaanxi University of Science and Technology,陕西,208.6,131
安徽师范大学,Anhui Normal University,安徽,208.4,132
北京建筑大学,Beijing University of Civil Engineering and Architecture,北京,207.9,133
华侨大学,Huaqiao University,福建,207.1,134
汕头大学,Shantou University,广东,204.6,135
华东政法大学,East China University of Political Science and Law,上海,,政2
新疆大学,Xinjiang University,新疆,204.3,136
江苏科技大学,Jiangsu University of Science and Technology,江苏,202.4,137
石河子大学,Shihezi University,新疆,201.7,138
中国计量大学,China Jiliang University,浙江,201.6,139
北京语言大学,Beijing Language and Culture University,北京,,语5
河南农业大学,Henan Agricultural University,河南,201.3,140
安徽医科大学,Anhui Medical University,安徽,,医17
重庆邮电大学,Chongqing University of Posts and Telecommunications,重庆,200.9,141
湖北工业大学,Hubei University of Technology,湖北,199.9,142
沈阳农业大学,Shenyang Agricultural University,辽宁,199.9,142
四川农业大学,Sichuan Agricultural University,四川,199.9,142
福建医科大学,Fujian Medical University,福建,,医18
浙江工商大学,Zhejiang Gongshang University,浙江,,财9
