text,href,twebsite
文学院,http://chinese.swu.edu.cn/,http://chinese.swu.edu.cn//szdw.htm
外国语学院,http://foreign.swu.edu.cn/,http://foreign.swu.edu.cn//zsdw/js.htm
历史文化学院 民族学院,http://his.swu.edu.cn/,http://his.swu.edu.cn//szdw/szgk.htm
国际学院 ,http://gjxy.swu.edu.cn/,http://gjxy.swu.edu.cn/xygk/dwjs/jsdw.htm
马克思主义学院,http://marxism.swu.edu.cn/,http://marxism.swu.edu.cn//szdw1/szgk.htm
经济管理学院,http://cem.swu.edu.cn/,http://cem.swu.edu.cn//szdw/js.htm
国家治理学院,http://gjzl.swu.edu.cn/,http://gjzl.swu.edu.cn//javascript:void(0);
法学院,http://law.swu.edu.cn/,http://law.swu.edu.cn//szdw/zzjs1/zzjsgk.htm
商贸学院,http://smxy.swu.edu.cn/,http://smxy.swu.edu.cn/szdw/zzjs.htm
体育学院,http://tyxy.swu.edu.cn/,http://tyxy.swu.edu.cn//szdw.htm
教师教育学院,http://cte.swu.edu.cn/,http://cte.swu.edu.cn//info/1064/3095.htm
音乐学院,http://music.swu.edu.cn/,http://music.swu.edu.cn//szdw/szgk.htm
美术学院,http://art.swu.edu.cn,http://art.swu.edu.cn/javascript:void(0);
新闻传媒学院,http://xwcm.swu.edu.cn,http://xwcm.swu.edu.cn/xygk/szdw.htm
化学化工学院,http://chemistry.swu.edu.cn/,http://chemistry.swu.edu.cn//szdw.htm
物理科学与技术学院,http://physics.swu.edu.cn,http://physics.swu.edu.cn/xyzl/szdw.htm
材料与能源学院,http://fmae.swu.edu.cn,http://fmae.swu.edu.cn/szdw.htm
资源环境学院,http://zihuan.swu.edu.cn/,http://zihuan.swu.edu.cn//szdw/gjrc.htm
地理科学学院,http://geography.swu.edu.cn,http://geography.swu.edu.cn/szdw/dlkxx.htm
工程技术学院,http://gcjsxy.swu.edu.cn/,http://gcjsxy.swu.edu.cn//szdw.htm
食品科学学院,http://spxy.swu.edu.cn,http://spxy.swu.edu.cn/szll.htm
数学与统计学院,http://math.swu.edu.cn/,http://math.swu.edu.cn//szdw/zbjs.htm
计算机与信息科学学院 软件学院,http://cis.swu.edu.cn,http://cis.swu.edu.cn/xygk/szdw.htm
电子信息工程学院,http://ceie.swu.edu.cn,http://ceie.swu.edu.cn/szdw/gjrc.htm
人工智能学院,http://ai.swu.edu.cn,http://ai.swu.edu.cn/jsdw/szgk.htm
农学与生物科技学院,http://agronomy.swu.edu.cn/,http://agronomy.swu.edu.cn//szdw/szgk.htm
植物保护学院,http://zhibao.swu.edu.cn,http://zhibao.swu.edu.cn/szdw.htm
园艺园林学院,http://yyyl.swu.edu.cn,http://yyyl.swu.edu.cn/szlb/szxx/yyx.htm
蚕桑纺织与生物质科学学院,http://csfzswz.swu.edu.cn/,http://csfzswz.swu.edu.cn//szdw.htm
动物科学技术学院,http://dwkj.swu.edu.cn,http://dwkj.swu.edu.cn/szdw/js.htm
动物医学院,http://dwyx.swu.edu.cn,http://dwyx.swu.edu.cn/szdw/js.htm
水产学院,http://scxy.swu.edu.cn,http://scxy.swu.edu.cn/szdw/zg.htm
生命科学学院,http://smkxxy.swu.edu.cn/,http://smkxxy.swu.edu.cn//szdw.htm
药学院 中医药学院,http://pharmacy.swu.edu.cn,http://pharmacy.swu.edu.cn/szdw.htm
西塔学院,http://westa.swu.edu.cn/,http://westa.swu.edu.cn//xygk/szll.htm
