text,href,twebsite
卓越学院 / Honors College,http://www.honors.shisu.edu.cn,http://www.honors.shisu.edu.cn/msfc/list.htm
英语学院 / School of English Studies,http://www.ses.shisu.edu.cn,http://www.ses.shisu.edu.cn//10884/list.htm
东方语学院 / School of Asian and African Studies,http://www.saas.shisu.edu.cn,http://www.saas.shisu.edu.cn//15546/list.htm
日本文化经济学院 / School of Japanese Studies,http://www.sjs.shisu.edu.cn,http://www.sjs.shisu.edu.cn/2766/list.htm
俄罗斯东欧中亚学院 / School of Russian and Eurasian Studies,http://www.sres.shisu.edu.cn,http://www.sres.shisu.edu.cn/7161/list.htm
国际教育学院 / School of Education,http://www.soe.shisu.edu.cn,http://www.soe.shisu.edu.cn//szgk/list.htm
国际金融贸易学院 / School of Economics and Finance,http://www.sef.shisu.edu.cn,http://www.sef.shisu.edu.cn/http://cifc.shisu.edu.cn/10209/list.htm
国际工商管理学院 / School of Business and Management,http://www.sbm.shisu.edu.cn,http://www.sbm.shisu.edu.cn/http://www.sbm.shisu.edu.cn/axs/list.htm
法学院 / School of Law,http://www.law.shisu.edu.cn,http://www.law.shisu.edu.cn/http://infadm.shisu.edu.cn/_s37/_t628/zrjs/list.psp
国际关系与公共事务学院 / School of International Relations and Public Affairs,http://www.sirpa.shisu.edu.cn,http://www.sirpa.shisu.edu.cn//16731/list.htm
高级翻译学院 / Graduate Institute of Interpretation and Translation,http://www.giit.shisu.edu.cn,http://www.giit.shisu.edu.cn/shiziduiwu/szdw.htm
国际文化交流学院 / School of Chinese Studies and Exchange,http://www.scse.shisu.edu.cn,http://www.scse.shisu.edu.cn//szdw/list.htm
马克思主义学院 / School of Marxism Studies,http://www.fss.shisu.edu.cn,http://www.fss.shisu.edu.cn//15276/list.htm
继续教育学院 / School for Continuing Education,http://www.sce.shisu.edu.cn,http://www.sce.shisu.edu.cn//c7/be/c6782a182206/page.htm
海外合作学院 / College for International Cooperative Programs,http://www.cicp.shisu.edu.cn,http://www.cicp.shisu.edu.cn/5200/list.htm
