text,href,twebsite
基础医学院,http://bms.fjmu.edu.cn,https://bms.fjmu.edu.cn/7454/list.htm
公共卫生学院,http://www.fjmu.edu.cn/ggwsxy/,https://www.fjmu.edu.cn/ggwsxy/2967/list.htm
医学技术与工程学院,https://yjgcxy.fjmu.edu.cn/,https://yjgcxy.fjmu.edu.cn/3052/list.htm
临床医学部,http://www.fjmu.edu.cn/lcyxb/,https://www.fjmu.edu.cn/lcyxb/5841/list.htm
健康学院,http://jkxy.fjmu.edu.cn,https://jkxy.fjmu.edu.cn/szpx/list.htm
护理学院,http://www.fjmu.edu.cn/hlxy/,https://www.fjmu.edu.cn/hlxy/3107/list.htm
药学院,http://yxy.fjmu.edu.cn,https://yxy.fjmu.edu.cn/szdw/list.htm
卫生管理学院,https://wsgl.fjmu.edu.cn/,https://wsgl.fjmu.edu.cn/zjtd/list.htm
医学影像学院,https://yxxy.fjmu.edu.cn/,https://yxxy.fjmu.edu.cn/8079/list.htm
