text,href,twebsite
航空学院,http://aero.nuaa.edu.cn/,http://aero.nuaa.edu.cn///2024/0408/c3912a335403/page.htm
能源与动力学院,http://cepe.nuaa.edu.cn/,http://cepe.nuaa.edu.cn///11930/list.htm
自动化学院,http://cae.nuaa.edu.cn/,http://cae.nuaa.edu.cn///5352/list.htm
电子信息工程学院/集成电路学院,http://ceie.nuaa.edu.cn/,http://ceie.nuaa.edu.cn///1866/list.htm
机电学院,http://cmee.nuaa.edu.cn/,http://cmee.nuaa.edu.cn///11457/list.htm
材料科学与技术学院,http://msc.nuaa.edu.cn/,http://msc.nuaa.edu.cn//http://msc.nuaa.edu.cn/18628/list.htm
民航学院,http://cca.nuaa.edu.cn/,http://cca.nuaa.edu.cn///16244/list.htm
数学学院,http://math.nuaa.edu.cn/,http://math.nuaa.edu.cn///2024/0408/c17250a335431/page.htm
经济与管理学院,http://cem.nuaa.edu.cn/,http://cem.nuaa.edu.cn///3593/list.htm
人文与社会科学学院,http://rw.nuaa.edu.cn/,http://rw.nuaa.edu.cn///szll/list.htm
艺术学院,http://ysxy.nuaa.edu.cn/,http://ysxy.nuaa.edu.cn///13790/list.htm
外国语学院,http://cfl.nuaa.edu.cn/,http://cfl.nuaa.edu.cn///2278/list.htm
航天学院,http://astro.nuaa.edu.cn/,http://astro.nuaa.edu.cn///2062/main.htm
计算机科学与技术学院/人工智能学院,http://cs.nuaa.edu.cn/,http://cs.nuaa.edu.cn///1956/list.htm
马克思主义学院,http://nhmy.nuaa.edu.cn/,https://nhmy.nuaa.edu.cn/1690/list.htm
长空学院,http://changkong.nuaa.edu.cn/,http://changkong.nuaa.edu.cn///10236/list.htm
通用航空与飞行学院,http://cgaf.nuaa.edu.cn/,http://cgaf.nuaa.edu.cn///14461/list.htm
物理学院,http://physics.nuaa.edu.cn/,https://physics.nuaa.edu.cn/17385/list.htm
