text,href,twebsite
政治学与公共管理学院,http://pspa.sdu.edu.cn/,https://pspa.sdu.edu.cn/jytd/qzjs.htm
哲学与社会发展学院,http://www.sps.sdu.edu.cn/,http://www.sps.sdu.edu.cn//szdw/jsml1.htm
艺术学院,http://www.art.sdu.edu.cn/,http://www.art.sdu.edu.cn//szjs1/szll/jnxq.htm
药学院,http://www.pharm.sdu.edu.cn,https://www.pharm.sdu.edu.cn/szdw1.htm
信息科学与工程学院,http://www.ise.sdu.edu.cn,http://www.ise.sdu.edu.cn/szdw/jzg.htm
新闻传播学院,http://www.jc.sdu.edu.cn,http://www.jc.sdu.edu.cn/szdw1.htm
物理学院,http://www.phy.sdu.edu.cn,https://www.phy.sdu.edu.cn/szll/yjsds.htm
文学院,http://www.lit.sdu.edu.cn/,http://www.lit.sdu.edu.cn//szdw.htm
文化传播学院,https://whcb.wh.sdu.edu.cn,https://whcb.wh.sdu.edu.cn/xygk/szdw.htm
网络空间安全学院,https://cst.qd.sdu.edu.cn/,https://cst.qd.sdu.edu.cn/xsdtr.htm
外国语学院,http://www.flc.sdu.edu.cn/,http://www.flc.sdu.edu.cn//szll/xssz.htm
土建与水利学院,http://www.tjsl.sdu.edu.cn/,http://www.tjsl.sdu.edu.cn//szdw/xssz.htm
体育学院,http://www.tyb.sdu.edu.cn/,http://www.tyb.sdu.edu.cn//szdw1/xyjs1.htm
数学与统计学院,https://math.wh.sdu.edu.cn/,https://math.wh.sdu.edu.cn//szll/yjsds.htm
数学学院,http://www.math.sdu.edu.cn/,http://www.math.sdu.edu.cn//szdw/szjs1.htm
生命科学学院,http://www.lifesci.sdu.edu.cn/,http://www.lifesci.sdu.edu.cn//rssz/szml.htm
商学院,https://shxy.wh.sdu.edu.cn/,https://shxy.wh.sdu.edu.cn//szll.htm
山东大学澳国立联合理学院,https://jsc.wh.sdu.edu.cn/,https://jsc.wh.sdu.edu.cn//szll.htm
软件学院,http://www.sc.sdu.edu.cn/,http://www.sc.sdu.edu.cn//szdw/qysz/rjjhyxnxsyjzx.htm
齐鲁医学院,https://www.qlyxb.sdu.edu.cn/,https://qlyxjxgl.sdu.edu.cn/jxglbgs/dsdw/dsdw.htm
齐鲁交通学院,http://www.qltrans.sdu.edu.cn/,http://www.qltrans.sdu.edu.cn//szdw/xssz.htm
能源与动力工程学院,http://www.epe.sdu.edu.cn,http://www.epe.sdu.edu.cn/info/1052/9511.htm
马克思主义学院,http://mlb.wh.sdu.edu.cn/,http://mlb.wh.sdu.edu.cn//xygk/szdw.htm
历史学院,http://www.history.sdu.edu.cn,http://www.history.sdu.edu.cn/szdw/xxsz.htm
口腔医学院,http://www.dent.sdu.edu.cn,https://www.dent.sdu.edu.cn/kxyj/xsky/rcdw.htm
控制科学与工程学院,http://control.sdu.edu.cn/,http://control.sdu.edu.cn//szdw1.htm
空间科学与物理学院,https://apd.wh.sdu.edu.cn/,https://apd.wh.sdu.edu.cn/szll/gccrc.htm
考古学院,https://www.archaeology.sdu.edu.cn,https://www.archaeology.sdu.edu.cn/szdw/yxsz.htm
经济学院,http://www.econ.sdu.edu.cn/,https://www.econ.sdu.edu.cn/jytd/jsml.htm
计算机科学与技术学院,http://www.cs.sdu.edu.cn/,http://www.cs.sdu.edu.cn//szdw1/js.htm
集成电路学院,http://ic.sdu.edu.cn,https://ic.sdu.edu.cn/kyyhz/kytdyds.htm
基础医学院,http://www.bms.sdu.edu.cn/,http://www.bms.sdu.edu.cn//index/szdw/jcrc.htm
机械工程学院,http://www.mech.sdu.edu.cn/,http://www.mech.sdu.edu.cn//szdw/xssz.htm
机电与信息工程学院,https://ie.wh.sdu.edu.cn/,https://ie.wh.sdu.edu.cn//szll/js.htm
环境科学与工程学院,http://www.huanke.sdu.edu.cn/,http://www.huanke.sdu.edu.cn//szdw/szjj.htm
化学与化工学院,http://www.chem.sdu.edu.cn,http://www.chem.sdu.edu.cn/szdw/xssz.htm
护理与康复学院,http://www.nursing.sdu.edu.cn,http://www.nursing.sdu.edu.cn/szdw.htm
海洋学院,https://mc.wh.sdu.edu.cn/,https://mc.wh.sdu.edu.cn//shizid.htm
国际教育学院,http://www.cie.sdu.edu.cn/,http://www.cie.sdu.edu.cn//rcpy/szpx.htm
国际创新转化学院,https://isie.qd.sdu.edu.cn/,https://isie.qd.sdu.edu.cn//szll/szylb.htm
管理学院,http://www.glxy.sdu.edu.cn/,http://www.glxy.sdu.edu.cn//szyky/szzp.htm
公共卫生学院,http://www.sph.sdu.edu.cn,http://www.sph.sdu.edu.cn/xwzsy/szdw/szgk.htm
翻译学院,https://fyxy.wh.sdu.edu.cn/,https://fyxy.wh.sdu.edu.cn//szdw.htm
法学院,http://www.law.sdu.edu.cn/,http://www.law.sdu.edu.cn//xysz/zzjs.htm
东北亚学院,https://snea.wh.sdu.edu.cn/,https://snea.wh.sdu.edu.cn//info/1064/12839.htm
电气工程学院,http://www.ee.sdu.edu.cn/,http://www.ee.sdu.edu.cn//szdw1.htm
材料科学与工程学院,http://www.cmse.sdu.edu.cn/,http://www.cmse.sdu.edu.cn//szll/xssz.htm
