text,href,twebsite
农学院,http://nxy.fafu.edu.cn,http://nxy.fafu.edu.cn//11525/list.htm
植物保护学院,http://zbxy.fafu.edu.cn,http://zbxy.fafu.edu.cn//szdw_7542/list.htm
园艺学院,http://yyxy.fafu.edu.cn,http://yyxy.fafu.edu.cn//942/list.htm
林学院,http://lxy.fafu.edu.cn,http://lxy.fafu.edu.cn//1522/list.htm
生命科学学院,http://skxy.fafu.edu.cn,http://skxy.fafu.edu.cn//1070/list.htm
菌草与生态学院（碳中和学院）,https://jcstxy.fafu.edu.cn,https://jcstxy.fafu.edu.cn//12527/list.htm
动物科学学院,http://dkxy.fafu.edu.cn/,http://dkxy.fafu.edu.cn///szk_11505/list.htm
蜂学与生物医药学院,https://fsxy.fafu.edu.cn,https://fsxy.fafu.edu.cn//jsxx/list.htm
海洋学院,http://hyxy.fafu.edu.cn/,http://hyxy.fafu.edu.cn///11451/list.htm
资源与环境学院,http://zhxy.fafu.edu.cn/,http://zhxy.fafu.edu.cn///1783/list.htm
食品科学学院,http://spxy.fafu.edu.cn/,http://spxy.fafu.edu.cn///421/list.htm
材料工程学院,http://clxy.fafu.edu.cn/,http://clxy.fafu.edu.cn///624/list.htm
计算机与信息学院,http://xxxy.fafu.edu.cn/,http://xxxy.fafu.edu.cn///szdw1/list.htm
机电工程学院,http://jdxy.fafu.edu.cn/,http://jdxy.fafu.edu.cn///szdw/list.htm
交通与土木工程学院,http://jtxy.fafu.edu.cn/,http://jtxy.fafu.edu.cn///714/list.htm
风景园林与艺术学院,http://ysylxy.fafu.edu.cn/,http://ysylxy.fafu.edu.cn///szgk_12735/list.htm
马克思主义学院,http://mksxy.fafu.edu.cn/,http://mksxy.fafu.edu.cn///341/list.htm
经济与管理学院,http://jjglxy.fafu.edu.cn/,http://jjglxy.fafu.edu.cn///szfc/list.htm
公共管理与法学院,http://ggxy.fafu.edu.cn/,https://ggxy.fafu.edu.cn/c8/06/c7893a182278/page.htm
乡村振兴学院,http://xzxy.fafu.edu.cn/,http://xzxy.fafu.edu.cn///12143/list.htm
戴尔豪西大学联合学院    （国际学院）,http://gjxy.fafu.edu.cn/,https://gjxy.fafu.edu.cn/8967/list.htm
未来技术学院   （海峡联合学院、海峡联合研究院,http://net.fafu.edu.cn/hist,https://net.fafu.edu.cn/hist/dsjs/list.htm
安溪校区 安溪茶学院   （数字经济学院）,http://axcxy.fafu.edu.cn/,https://axcxy.fafu.edu.cn/1234/list.htm
