text,href,twebsite
宇航学院,http://sae.bit.edu.cn/,http://sae.bit.edu.cn//szdw20/szml/index.htm
医学技术学院,http://smt.bit.edu.cn/,http://smt.bit.edu.cn//szdw/szgk/index.htm
机电学院,http://smen.bit.edu.cn/,http://smen.bit.edu.cn//szdw/szml/index.htm
机械与车辆学院,http://me.bit.edu.cn/,http://me.bit.edu.cn//szdw/szgk/index.htm
北理鲍曼学院,http://www.bit.edu.cn/gbxxgk/gbgljg/index.htm,https://www.bit.edu.cn/szdwsjb/index.htm
数学与统计学院,http://math.bit.edu.cn/,http://math.bit.edu.cn//szdw/index.htm
光电学院,http://opt.bit.edu.cn/,https://opt.bit.edu.cn/jsdw/dsfc/index.htm
物理学院,http://physics.bit.edu.cn/,http://physics.bit.edu.cn//szdw/szml/index.htm
信息与电子学院,http://sie.bit.edu.cn/,http://sie.bit.edu.cn//szdw/szgk/index.htm
管理学院,http://sme.bit.edu.cn/,https://som.bit.edu.cn/gbszdw/szml/index.htm
集成电路与电子学院,https://ice.bit.edu.cn/,https://ice.bit.edu.cn//szdw/szgk/index.htm
经济学院,https://soe.bit.edu.cn,https://soe.bit.edu.cn/szdw/szzp/index.htm
自动化学院,http://ac.bit.edu.cn/,http://ac.bit.edu.cn//szdw/index.htm
教育学院,http://rw.bit.edu.cn/,http://rw.bit.edu.cn//szdw/jsjj/index.htm
计算机学院,http://cs.bit.edu.cn/,http://cs.bit.edu.cn//szdw/jsml/index.htm
马克思主义学院,http://marx.bit.edu.cn/,http://marx.bit.edu.cn//szdw/gk/index.htm
网络空间安全学院,https://cst.bit.edu.cn/,https://cst.bit.edu.cn//szdw/szgk/index.htm
法学院,http://law.bit.edu.cn/,https://law.bit.edu.cn/szll/szgk/index.htm
材料学院,http://mse.bit.edu.cn/,http://mse.bit.edu.cn//szdw/szgk/index.htm
外国语学院,http://sfl.bit.edu.cn/,http://sfl.bit.edu.cn//szdw/index.htm
化学与化工学院,http://cce.bit.edu.cn/,http://cce.bit.edu.cn//szdw/index.htm
设计与艺术学院,http://design.bit.edu.cn/,https://design.bit.edu.cn/sz2/szdw/index.htm
生命学院,http://ls.bit.edu.cn/,http://ls.bit.edu.cn//szdw/gspszdw/index.htm
徐特立学院/特立书院,http://xuteli.bit.edu.cn/,http://xuteli.bit.edu.cn//szdw/index.htm
未来精工技术学院,http://xuteli.bit.edu.cn/,http://xuteli.bit.edu.cn//szdw/index.htm
卓越工程师学院,http://xuteli.bit.edu.cn/,http://xuteli.bit.edu.cn//szdw/index.htm
