text,href,twebsite
石油与天然气工程学院,http://www.swpu.edu.cn/sgy/,https://www.swpu.edu.cn/sgy/szdw.htm
地球科学与技术学院,http://www.swpu.edu.cn/dky,https://www.swpu.edu.cn/dky/szdw/szgk.htm
机电工程学院,http://www.swpu.edu.cn/jdy,http://www.swpu.edu.cn/jdy/szdw/szgk.htm
化学化工学院,http://www.swpu.edu.cn/hgy,https://www.swpu.edu.cn/hgy/szdw.htm
新能源与材料学院,http://www.swpu.edu.cn/cly,http://www.swpu.edu.cn/cly/szdw/jsml.htm
/光伏新能源现代产业学院,https://www.swpu.edu.cn/ipv/,https://www.swpu.edu.cn/ipv//szdw.htm
计算机与软件学院,http://www.swpu.edu.cn/scs,https://www.swpu.edu.cn/scs/yjsjy/yjsds.htm
电气信息学院,http://www.swpu.edu.cn/dxy,https://www.swpu.edu.cn/dxy/szdw/szdw.htm
土木工程与测绘学院,http://www.swpu.edu.cn/tcy/,http://www.swpu.edu.cn/tcy//szdw/szgk.htm
经济管理学院,http://www.swpu.edu.cn/sem,https://www.swpu.edu.cn/sem/szdw.htm
法学院,http://www.swpu.edu.cn/wfy,https://www.swpu.edu.cn/wfy/szdw1.htm
马克思主义学院,http://www.swpu.edu.cn/szb,http://www.swpu.edu.cn/szb/szdw/szgk.htm
外国语学院,http://www.swpu.edu.cn/wyx,https://www.swpu.edu.cn/wyx/xygk/szdw/jsml.htm
体育学院（体育工作委员会）,http://www.swpu.edu.cn/tyx,https://www.swpu.edu.cn/tyx/sy/szdw/szgk.htm
艺术学院,http://www.swpu.edu.cn/art,https://www.swpu.edu.cn/art/szdw.htm
光伏新能源现代产业学院,http://www.swpu.edu.cn/ipv/,http://www.swpu.edu.cn/ipv//szdw.htm
