text,href,twebsite
航天学院,http://sa.hit.edu.cn/,http://sa.hit.edu.cn///szdw/list.htm
电子与信息工程学院,http://seie.hit.edu.cn/,http://seie.hit.edu.cn///szgk/list.htm
机电工程学院,http://sme.hit.edu.cn/,http://sme.hit.edu.cn//http://sme.hit.edu.cn/17971/list.htm
材料科学与工程学院,http://mse.hit.edu.cn/,http://mse.hit.edu.cn//http://mse.hit.edu.cn/16898/list.htm
能源科学与工程学院,http://power.hit.edu.cn/,http://power.hit.edu.cn//https://mp.weixin.qq.com/s/RrErGbljiJm_4sLuHskxYw
电气工程及自动化学院,http://hitee.hit.edu.cn/,http://hitee.hit.edu.cn//http://hitee.hit.edu.cn/17036/list.htm
仪器科学与工程学院,http://ise.hit.edu.cn/,http://ise.hit.edu.cn//http://ise.hit.edu.cn/16179/list.htm
数学学院,http://math.hit.edu.cn/,https://math.hit.edu.cn/10223/list.htm
物理学院,http://physics.hit.edu.cn/,http://physics.hit.edu.cn//http://physics.hit.edu.cn/ysfc/list.htm
经济与管理学院,http://som.hit.edu.cn/,http://som.hit.edu.cn//szdw/szzpxx1.htm
外国语学院,http://fls.hit.edu.cn/,https://fls.hit.edu.cn/szdw/list.htm
社会科学学院,https://rwxy.hit.edu.cn/,https://rwxy.hit.edu.cn///szdw/list.htm
马克思主义学院,http://marx.hit.edu.cn/,https://marx.hit.edu.cn/szdw/list.htm
土木工程学院,http://civil.hit.edu.cn/,http://civil.hit.edu.cn/8431/list.htm
环境学院,http://env.hit.edu.cn/,https://env.hit.edu.cn/8335/list.htm
建筑与设计学院,http://arch.hit.edu.cn/,https://arch.hit.edu.cn/11963/list.htm
交通科学与工程学院,http://jtxy.hit.edu.cn/,https://jtxy.hit.edu.cn/szdw/list.htm
计算机科学与技术学院,http://computing.hit.edu.cn/,https://computing.hit.edu.cn/11261/list.htm
国家示范性软件学院,http://software.hit.edu.cn/,http://software.hit.edu.cn//http://software.hit.edu.cn/12766/list.htm
网络空间安全学院,http://cys.hit.edu.cn/,http://cys.hit.edu.cn//szdw1/bssds.htm
化工与化学学院,http://chemeng.hit.edu.cn/,http://chemeng.hit.edu.cn///2024/0511/c4286a344430/page.htm
医学与健康学院,http://med.hit.edu.cn/,http://med.hit.edu.cn///12987/list.htm
生命科学与技术学院,http://life.hit.edu.cn//,http://life.hit.edu.cn////szdw/list.htm
未来技术学院,http://future.hit.edu.cn/,http://future.hit.edu.cn///gjjl1/list.htm
深圳国际设计学院,http://sisd.hit.edu.cn/,http://sisd.hit.edu.cn///14946/list.htm
