text,href,twebsite
地球科学学院,http://dxy.cug.edu.cn/,https://dxy.cug.edu.cn/szdw/yxrc.htm
资源学院,http://zyxy.cug.edu.cn/,http://zyxy.cug.edu.cn//szdw.htm
材料与化学学院,http://chxy.cug.edu.cn/,https://chxy.cug.edu.cn/szdw/jcrc.htm
环境学院,http://ses.cug.edu.cn,http://ses.cug.edu.cn/szdw/szgk.htm
工程学院,http://gcxy.cug.edu.cn/,http://gcxy.cug.edu.cn//szdw/szgk.htm
地球物理与空间信息学院,http://dkxy.cug.edu.cn/,http://dkxy.cug.edu.cn//szdw/szgk.htm
海洋学院,http://cmst.cug.edu.cn/,https://cmst.cug.edu.cn/szll/bshldz.htm
机械与电子信息学院,http://jidian.cug.edu.cn/,https://jidian.cug.edu.cn/szdw/dzxxgc/js.htm
自动化学院,http://au.cug.edu.cn/,http://au.cug.edu.cn//szdw/szgk.htm
经济管理学院,http://jgxy.cug.edu.cn/,http://jgxy.cug.edu.cn//szdw/szgk.htm
外国语学院,http://wyxy.cug.edu.cn/,http://wyxy.cug.edu.cn//yjsjy/szdw.htm
地理与信息工程学院,http://xgxy.cug.edu.cn/,http://xgxy.cug.edu.cn//szdw/szgk.htm
数学与物理学院,http://slxy.cug.edu.cn/,https://slxy.cug.edu.cn/szdw1/dsxx1.htm
珠宝学院,http://zbxy.cug.edu.cn/,http://zbxy.cug.edu.cn///szll/about-52.html
公共管理学院,http://ggxy.cug.edu.cn/,http://ggxy.cug.edu.cn//szdw/yxrc.htm
计算机学院,http://cs.cug.edu.cn/,https://cs.cug.edu.cn/szll/jsjkxyjs.htm
体育学院,http://ty.cug.edu.cn/,https://ty.cug.edu.cn/xygk/jsdw.htm
艺术与传媒学院,http://sac.cug.edu.cn/,http://sac.cug.edu.cn//szdw/js.htm
马克思主义学院,http://mkszyxy.cug.edu.cn/,http://mkszyxy.cug.edu.cn//szll.htm
未来技术学院,https://sft.cug.edu.cn/,https://sft.cug.edu.cn//szdw/szgk.htm
新能源学院（碳达峰碳中和创新发展研究院）,https://energy.cug.edu.cn/,https://energy.cug.edu.cn//szll/szgk.htm
