text,href,twebsite
通信与信息工程学院,http://scie.cqupt.edu.cn/,http://scie.cqupt.edu.cn//http://faculty.cqupt.edu.cn/index.jsp
自动化学院/工业互联网学院,http://ac.cqupt.edu.cn/,https://ac.cqupt.edu.cn/szdw/szgk.htm
先进制造工程学院,http://same.cqupt.edu.cn/,http://same.cqupt.edu.cn//xygk/szdw.htm
光电工程学院,http://ee.cqupt.edu.cn/,https://ee.cqupt.edu.cn/sygk/szdui_wu.htm
软件工程学院/重邮—惠普软件学院,http://software.cqupt.edu.cn/,http://software.cqupt.edu.cn//xygk/szdw.htm
生物信息学院,http://swxy.cqupt.edu.cn/,http://swxy.cqupt.edu.cn//szdw1/szdw.htm
理学院,http://lxy.cqupt.edu.cn/,http://lxy.cqupt.edu.cn//szdwu.htm
经济管理学院,http://jgxy.cqupt.edu.cn/,https://jgxy.cqupt.edu.cn/szdw.htm
现代邮政学院,http://xdyz.cqupt.edu.cn/,http://xdyz.cqupt.edu.cn//szdw/dzswx.htm
传媒艺术学院,http://cmys.cqupt.edu.cn/,http://cmys.cqupt.edu.cn//szdw.htm
外国语学院,http://cfl.cqupt.edu.cn/,http://cfl.cqupt.edu.cn//xygk/szdw.htm
国际学院,http://international.cqupt.edu.cn/,http://international.cqupt.edu.cn/szdw.htm
网络空间安全与信息法学院,http://sl.cqupt.edu.cn/,http://sl.cqupt.edu.cn//szdw.htm
马克思主义学院,http://marx.cqupt.edu.cn/,http://marx.cqupt.edu.cn//xbwz/szdw/sxzzllkjyb1/sxddyfzjys.htm
体育学院,http://tyxy.cqupt.edu.cn/,https://tyxy.cqupt.edu.cn/xygk/jsdw.htm
创新创业教育学院,http://siee.cqupt.edu.cn/,http://siee.cqupt.edu.cn//szdw.htm
