text,href,twebsite
外语学院,http://www.fl.ecnu.edu.cn/,http://www.fl.ecnu.edu.cn/11639/list.htm?unfold=false
传播学院,https://comm.ecnu.edu.cn,https://comm.ecnu.edu.cn/41560/list.htm
国际汉语文化学院,http://chinese.ecnu.edu.cn/,http://chinese.ecnu.edu.cn///2023xszdw/list.htm
心理与认知科学学院,http://psy.ecnu.edu.cn/,http://psy.ecnu.edu.cn/17437/list.htm
体育与健康学院,https://tyxx.ecnu.edu.cn,https://tyxx.ecnu.edu.cn//szdw2_37982/list.htm
马克思主义学院,http://mks.ecnu.edu.cn/,https://mks.ecnu.edu.cn/sxzzjyx_33711/list.htm
政治与国际关系学院,https://polis.ecnu.edu.cn/,https://polis.ecnu.edu.cn/tl/2?m2=5
社会发展学院,https://soci.ecnu.edu.cn/,https://soci.ecnu.edu.cn///10670/list.htm
法学院,http://www.law.ecnu.edu.cn/,http://www.law.ecnu.edu.cn///Teacher-team/In-service-teacher/
经济与管理学院,https://sem.ecnu.edu.cn/,http://sem.ecnu.edu.cn/42837/list.htm
公共管理学院,https://spm.ecnu.edu.cn/,https://spm.ecnu.edu.cn///42677/list.htm
统计学院,https://stat.ecnu.edu.cn/,https://stat.ecnu.edu.cn///9701/list.htm
数学科学学院,http://math.ecnu.edu.cn/,https://math.ecnu.edu.cn/faculty.html
物理与电子科学学院,http://phy.ecnu.edu.cn/,http://phy.ecnu.edu.cn///1619/list.htm
化学与分子工程学院,https://chem.ecnu.edu.cn/,https://chem.ecnu.edu.cn///27532/list.htm
生命科学学院,http://life.ecnu.edu.cn/,https://life.ecnu.edu.cn/18050/list.htm
地理科学学院,https://geo.ecnu.edu.cn,http://geo.ecnu.edu.cn/42714/list.htm
生态与环境科学学院,https://sees.ecnu.edu.cn,http://sees.ecnu.edu.cn/zrjs/list.htm
河口海岸科学研究院（海洋科学学院）,http://www.iec.ecnu.edu.cn/,http://www.iec.ecnu.edu.cn/Research/StaffListIEC
计算机科学与技术学院,https://cs.ecnu.edu.cn/,http://www.cs.ecnu.edu.cn/gjjcqnjjhdz/list.htm
软件工程学院,http://www.sei.ecnu.edu.cn/,https://mp.weixin.qq.com/s/Hzqg8EKFpp9FVxMLQ9BXDg
数据科学与工程学院,http://dase.ecnu.edu.cn/,http://dase.ecnu.edu.cn///szzk/list.htm
通信与电子工程学院,http://www.cee.ecnu.edu.cn/,http://www.cee.ecnu.edu.cn/txgcx/list.htm
药学院,https://pharm.ecnu.edu.cn/,http://pharm.ecnu.edu.cn/jsml/list.htm
音乐学院,http://music.ecnu.edu.cn/,http://music.ecnu.edu.cn///784/list.htm
美术学院,https://art.ecnu.edu.cn,https://art.ecnu.edu.cn//8695/list.htm
上海国际首席技术官学院,https://cto.ecnu.edu.cn/main.htm,https://cto.ecnu.edu.cn/main.htm//xysz_40997/list.htm
上海人工智能金融学院,https://saifs.ecnu.edu.cn/,https://saifs.ecnu.edu.cn///szjs/list.htm
