text,href,twebsite
检验医学院（生命科学学院）,http://jsxy.wmu.edu.cn,https://jsxy.wmu.edu.cn/szdw/szjie_g.htm
药学院,http://yxy.wmu.edu.cn,https://yxy.wmu.edu.cn/cn/szdw/bssds.htm
护理学院,http://hlxy.wmu.edu.cn,http://hlxy.wmu.edu.cn/szdw1s/zrjs.htm
公共卫生学院,https://sph.wmu.edu.cn/,https://sph.wmu.edu.cn//dwj/szgjjl.htm
马克思主义学院（哲学社会科学部）,http://skb.wmu.edu.cn,https://skb.wmu.edu.cn/dwjs/zzjsdw.htm
外国语学院,http://wgy.wmu.edu.cn,http://wgy.wmu.edu.cn/szjss/szpy.htm
眼视光学院（生物医学工程学院）,https://www.wzeye.cn/edu/,https://www.wzeye.cn/zhuanke2/729.html
口腔医学院,http://www.dentist.ac.cn/,https://www.dentist.ac.cn/list/33.html
精神医学学院,http://jsyx.wmu.edu.cn/,http://jsyx.wmu.edu.cn//info/1017/3381.htm
仁济学院（独立学院）,http://rjxy.wmu.edu.cn,http://rjxy.wmu.edu.cn/info/1035/167479.htm
阿尔伯塔学院,http://ai.wmu.edu.cn/,http://ai.wmu.edu.cn//info/1030/2876.htm
康复医学院,https://kfyxy.wmu.edu.cn/,https://kfyxy.wmu.edu.cn//jyjx/szdw.htm
中医药学院,https://zhyyxy.wmu.edu.cn,https://zhyyxy.wmu.edu.cn/szdw/rcdw.htm
仁济学院,http://rjxy.wmu.edu.cn,http://rjxy.wmu.edu.cn/info/1035/167479.htm
