学校名称_中文,学校名称_英文,省份,排名,学校地址,学校网址
大连理工大学,Dalian University of Technology,辽宁,32,"甘井子区凌工路2号
",https://baike.baidu.com/item/%E5%A4%A7%E8%BF%9E%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
南方科技大学,Southern University of Science and Technology,广东,33,"广东省深圳市南山区学苑大道1088号
",https://baike.baidu.com/item/%E5%8D%97%E6%96%B9%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
重庆大学,Chongqing University,重庆,34,"重庆市沙坪坝区沙正街174号
",https://baike.baidu.com/item/%E9%87%8D%E5%BA%86%E5%A4%A7%E5%AD%A6
上海财经大学,Shanghai University of Finance and Economics,上海,财1,"上海市杨浦区国定路777号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E8%B4%A2%E7%BB%8F%E5%A4%A7%E5%AD%A6
北京科技大学,University of Science and Technology Beijing,北京,35,"海淀区学院路30号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
南京理工大学,Nanjing University of Science and Technology,江苏,36,"江苏省南京市玄武区孝陵卫街道孝陵卫街200号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,37,"江苏省南京市御道街29号 
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E8%88%AA%E7%A9%BA%E8%88%AA%E5%A4%A9%E5%A4%A7%E5%AD%A6
东北大学,Northeastern University,辽宁,38,"辽宁省沈阳市和平区文化路3巷11号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8C%97%E5%A4%A7%E5%AD%A6
西安电子科技大学,Xidian University,陕西,39,"陕西省西安市雁塔区太白南路2号
",https://baike.baidu.com/item/%E8%A5%BF%E5%AE%89%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
兰州大学,Lanzhou University,甘肃,40,"甘肃省兰州市天水南路222号 
",https://baike.baidu.com/item/%E5%85%B0%E5%B7%9E%E5%A4%A7%E5%AD%A6
苏州大学,Soochow University (China),江苏,40,"江苏省苏州市姑苏区干将东路333号
",https://baike.baidu.com/item/%E8%8B%8F%E5%B7%9E%E5%A4%A7%E5%AD%A6
华中农业大学,Huazhong Agricultural University,湖北,42,"湖北省武汉市洪山区狮子山街1号
",https://baike.baidu.com/item/%E5%8D%8E%E4%B8%AD%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
北京交通大学,Beijing jiaotong University,北京,43,"北京市西直门外上园村3号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A6
华东理工大学,East China University of Science and Technology,上海,44,"上海市徐汇区梅陇路130号
",https://baike.baidu.com/item/%E5%8D%8E%E4%B8%9C%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
上海科技大学,ShanghaiTech University,上海,45,"上海市浦东新区华夏中路393号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
首都医科大学,Capital Medical University,北京,医2,"丰台区右安门外西头条10号
",https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
郑州大学,Zhengzhou University,河南,46,"主校区：河南省郑州市高新区科学大道100号
",https://baike.baidu.com/item/%E9%83%91%E5%B7%9E%E5%A4%A7%E5%AD%A6
中央财经大学,Central University of Finance and Economics,北京,财2,"北京市海淀区学院南路39号
",https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E8%B4%A2%E7%BB%8F%E5%A4%A7%E5%AD%A6
华中师范大学,Central China Normal University,湖北,47,"湖北省武汉市洪山区珞喻路152号
",https://baike.baidu.com/item/%E5%8D%8E%E4%B8%AD%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
上海大学,Shanghai University,上海,48,"上海市上大路99号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E5%A4%A7%E5%AD%A6
南京医科大学,Nanjing Medical University,江苏,医3,"江苏省南京市汉中路140号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
哈尔滨工程大学,Harbin Engineering University,黑龙江,49,"黑龙江省哈尔滨市南岗区南通大街145号
",https://baike.baidu.com/item/%E5%93%88%E5%B0%94%E6%BB%A8%E5%B7%A5%E7%A8%8B%E5%A4%A7%E5%AD%A6
南方医科大学,Southern Medical University,广东,医4,"广东省广州市白云区沙太南路1023号-1063号
",https://baike.baidu.com/item/%E5%8D%97%E6%96%B9%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
暨南大学,Jinan University,广东,50,"广东省广州市黄埔大道西601号
",https://baike.baidu.com/item/%E6%9A%A8%E5%8D%97%E5%A4%A7%E5%AD%A6
中国政法大学,China University of Political Science and Law,北京,政1,"北京市昌平区府学路27号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E6%94%BF%E6%B3%95%E5%A4%A7%E5%AD%A6
南京农业大学,Nanjing Agricultural University,江苏,51,"江苏省南京市玄武区卫岗1号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
对外经济贸易大学,University of International Business and Economics,北京,财3,"北京市朝阳区惠新东街10号
",https://baike.baidu.com/item/%E5%AF%B9%E5%A4%96%E7%BB%8F%E6%B5%8E%E8%B4%B8%E6%98%93%E5%A4%A7%E5%AD%A6
中国石油大学（北京）,China University of Petroleum - Beijing,北京,52,"北京市昌平区府学路18号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%9F%B3%E6%B2%B9%E5%A4%A7%E5%AD%A6%EF%BC%88%E5%8C%97%E4%BA%AC%EF%BC%89
东北师范大学,Northeast Normal University,吉林,53,"吉林省长春市南关区人民大街5268号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8C%97%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
武汉理工大学,Wuhan University of Technology,湖北,54,"湖北省武汉市洪山区珞狮路122号
",https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
西南交通大学,Southwest Jiaotong University,四川,55,"中国四川省成都市郫都区犀安路999号 
",https://baike.baidu.com/item/%E8%A5%BF%E5%8D%97%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A6
中国矿业大学,China University of Mining and Technology - Xuzhou,江苏,56,"江苏省大学路1号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%9F%BF%E4%B8%9A%E5%A4%A7%E5%AD%A6
北京邮电大学,Beijing University of Posts and Telecommunications,北京,57,"北京市海淀区西土城路10号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E9%82%AE%E7%94%B5%E5%A4%A7%E5%AD%A6
香港中文大学（深圳）,"The Chinese University of Hong Kong, Shenzhen",广东,合作1,"广东省深圳市龙岗区龙翔大道2001号
",https://baike.baidu.com/item/%E9%A6%99%E6%B8%AF%E4%B8%AD%E6%96%87%E5%A4%A7%E5%AD%A6%EF%BC%88%E6%B7%B1%E5%9C%B3%EF%BC%89
南京师范大学,Nanjing Normal University,江苏,58,"江苏省南京市栖霞区仙林大学城文苑路1号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
