∑÷¿‡≈≈√˚
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
A
B
A
A
A
A
A
A
A
A
A
A
A
A
A
C
A
A
A
A
A
A
A
A
A
A
A
B
A
C
A
A
B
A
B
A
D
A
C
A
A
A
A
A
A
E
A
A
A
A
A
A
B
A
A
C
A
A
B
C
A
A
A
B
A
A
A
A
A
A
A
A
A
A
G
A
A
G
A
B
A
A
A
A
A
A
A
A
A
A
B
A
A
A
B
A
G
B
A
A
A
B
A
B
A
C
E
A
G
A
F
A
A
A
A
A
A
A
A
A
A
A
A
C
E
A
A
A
A
B
A
A
A
B
A
A
B
C
A
A
A
A
A
A
A
A
A
A
D
A
A
A
A
G
A
B
A
A
A
A
B
C
